cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,p3asset,p3re,p3renus,IDP3REDM,p3recons,P3recnfm,p3recnot,p3reag,p3reres,p3remult,p3renres,P3RENROW,P3RENROT,p3refor,p3dep,p3depnus,p3ag,p3ci,p3cinus,p3con,p3crcd,P3AUTO,P3CONOTH,p3fg,p3othln,p3ls,p3scdebt,p3agsm,P3LNSALE,P3GTYPAR,P3LTOT,p9asset,p9re,p9renus,IDP9REDM,p9recons,P9recnfm,p9recnot,p9reag,p9reres,p9remult,p9renres,P9RENROW,P9RENROT,p9refor,p9dep,p9depnus,p9ag,p9ci,p9cinus,p9con,p9crcd,P9AUTO,P9CONOTH,p9fg,p9othln,p9ls,p9scdebt,p9agsm,P9LNSALE,P9GTYPAR,P9LTOT,naasset,nare,narenus,IDNAREDM,narecons,narecnfm,narecnot,nareag,nareres,naremult,narenres,NARENROW,NARENROT,narefor,nadep,nadepnus,naag,naci,nacinus,nacon,nacrcd,NAAUTO,NACONOTH,nafg,naothln,nals,nascdebt,naagsm,NALNSALE,NAGTYPAR,NALTOT
"26411","4530","109574","0","Haverhill Bank","Haverhill","MA","1830","9/30/2018","11/14/2018","SB","180 Merrimack Street","","9","0","1","4","0","Essex","14460","Boston-Cambridge-Newton, MA-NH","1/1/1877","10/24/1985","1/1/2012","Non-Stock","0","1","FDIC","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","0","1","www.haverhillbank.com","844","841","","841","0","0","0","0","841","0","0","0","0","","0","","","0","","3","0","0","3","","0","0","0","0","0","0","0","464","464","","464","0","0","0","0","0","0","464","0","464","","0","","","0","","0","0","0","0","","0","0","0","0","0","0","0","438","438","","438","0","0","0","0","362","0","76","76","0","","0","","","0","","0","0","0","0","","0","0","0","0","0","0","0"
"18296","11914","915065","1142439","Hawaii National Bank","Honolulu","HI","96817","9/30/2018","11/14/2018","N","45 N. King St., 7th Fl.","HAWAII NATIONAL BANCSHARES, INC.","14","0","0","4","0","Honolulu","46520","Urban Honolulu, HI","9/16/1960","9/16/1960","3/31/2006","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.hawaiinational.bank","21","0","","0","0","0","0","0","0","0","0","0","0","","0","","","10","","11","0","0","11","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","0","","","0","","0","0","0","0","","0","0","0","0","0","0","0","125","125","","125","0","0","0","0","103","0","22","22","0","","0","","","0","","0","0","0","0","","0","0","0","0","0","0","0"
"10619","9496","508346","2038409","Hawthorn Bank","Jefferson City","MO","65101","9/30/2018","11/14/2018","NM","132 East High Street","HAWTHORN BANCSHARES, INC","22","0","0","4","0","Cole","27620","Jefferson City, MO","1/1/1911","1/1/1934","2/22/2016","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Columbia Mo","St. louis","Western","West","0","1","www.hawthornbank.com","2307","1802","0","1802","100","0","100","10","1189","168","335","0","335","","0","0","","284","0","217","14","130","73","","4","0","0","4","0","84","0","235","212","0","212","0","0","0","0","212","0","0","0","0","","0","0","","0","0","15","15","0","0","","8","0","0","0","0","0","0","6045","3523","0","3523","158","0","158","37","2768","0","560","560","0","","0","0","","2289","0","226","0","112","114","","7","0","0","7","0","691","0"
"9035","0","224954","1127351","Headwaters State Bank","Land O Lakes","WI","54540","9/30/2018","11/14/2018","NM","4175 County Highway B","HEADWATERS BANCORP, INC.","2","0","0","8","1","Vilas","","","9/1/1921","1/1/1934","1/29/2018","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Appleton","Minneapolis","Central","Central","0","1","WWW.HEADWATERSSTATEBANK.COM","654","617","","617","0","0","0","0","131","0","486","486","0","","0","","","29","","8","0","4","4","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","0","","","0","","0","0","0","0","","0","0","0","0","0","0","0","682","655","","655","0","0","0","0","369","0","286","286","0","","0","","","0","","27","0","21","6","","0","0","0","0","0","0","0"
"9443","14785","853112","1399073","Heartland Bank","Whitehall","OH","43213","9/30/2018","11/14/2018","SM","430 North Hamilton Road","HEARTLAND BANCCORP","19","0","0","4","0","Franklin","18140","Columbus, OH","1/1/1911","1/1/1934","2/2/2018","Stock","0","0","FED","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.heartland.bank","875","775","","775","0","0","0","0","418","0","357","54","303","","0","","","77","","18","18","0","0","","5","0","0","0","0","86","0","24","24","","24","0","0","0","0","24","0","0","0","0","","0","","","0","","0","0","0","0","","0","0","0","0","0","24","0","3959","3457","","3457","0","0","0","0","309","0","3148","2943","205","","0","","","502","","0","0","0","0","","0","0","0","0","0","8","0"
"14809","15458","604547","1249105","Heartland Bank","Somers","IA","50586","9/30/2018","11/14/2018","NM","615 Sixth Avenue","SOMERS BANCORPORATION","4","0","0","2","1","Calhoun","","","1/1/1901","10/16/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","www.heartlandbanks.bank","263","48","","48","0","0","0","0","48","0","0","0","0","","0","","","192","","23","0","8","15","","0","0","0","0","0","0","0","67","0","","0","0","0","0","0","0","0","0","0","0","","0","","","8","","0","0","0","0","","59","0","0","0","0","0","0","1027","26","","26","0","0","0","0","26","0","0","0","0","","0","","","1001","","0","0","0","0","","0","0","0","0","0","0","0"
"18740","14701","88455","1834396","Heartland Bank","Geneva","NE","68361","9/30/2018","11/14/2018","NM","896 G Street","GENEVA STATE COMPANY","9","0","0","2","0","Fillmore","","","3/3/1899","3/28/1963","3/1/2014","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","West","0","1","www.myhbank.com","32","13","","13","0","0","0","0","13","0","0","0","0","","0","","","0","","19","0","13","6","","0","0","0","0","0","0","0","1048","871","","871","0","0","0","725","146","0","0","0","0","","0","","","0","","0","0","0","0","","177","0","0","177","0","199","0","74","0","","0","0","0","0","0","0","0","0","0","0","","0","","","71","","0","0","0","0","","3","0","0","3","0","0","0"
"20369","11128","426534","1208120","Heartland Bank and Trust Company","Bloomington","IL","61702","9/30/2018","11/14/2018","NM","401 North Hershey Road","HEARTLAND BANCORP, INC.","58","0","0","4","1","Mclean","14010","Bloomington, IL","2/22/1971","2/22/1971","4/29/2016","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Champaign","Chicago","Central","Central","0","1","http://www.hbtbank.com","5426","4563","0","4563","0","0","0","0","4103","362","98","98","0","","0","0","","504","0","227","44","0","183","","132","0","0","0","0","203","0","2952","1212","0","1212","0","0","0","0","299","390","523","523","0","","0","0","","1737","0","2","2","0","0","","1","0","0","0","0","0","0","20190","16584","0","16584","597","445","152","1979","5935","0","8073","7112","961","","0","0","","3252","0","354","0","5","349","","0","0","0","0","0","1805","0"
"35052","0","2800491","2800482","Heartland National Bank","Sebring","FL","33870","9/30/2018","11/14/2018","N","320 U.S. Highway 27 North","HEARTLAND BANCSHARES, INC.","4","0","0","2","0","Highlands","42700","Sebring, FL","9/7/1999","9/7/1999","3/31/2006","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Tampa","Atlanta","Southern","Southeast","0","1","http://www.heartlandnb.com","41","29","0","29","0","0","0","0","0","0","29","29","0","","0","0","","0","0","12","0","0","12","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","241","241","0","241","0","0","0","0","108","0","133","133","0","","0","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0"
"3919","10272","837653","1134966","Heartland State Bank","Edgeley","ND","58433","9/30/2018","11/14/2018","SM","401 Main Street","JBS, INC.","2","0","0","2","1","Lamoure","","","1/1/1921","1/1/1934","6/1/2010","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","http://www.heartlandstatebank.com","186","0","","0","0","0","0","0","0","0","0","0","0","","0","","","29","","0","0","0","0","","157","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","0","","","0","","0","0","0","0","","0","0","0","0","0","0","0","318","93","","93","0","0","0","93","0","0","0","0","0","","0","","","0","","5","0","0","5","","220","0","0","220","0","0","0"
"9007","0","135854","1123018","Heartland State Bank","Redfield","SD","57469","9/30/2018","11/14/2018","NM","302 East 7th Avenue","WESSINGTON BANKSHARES, INC.","4","0","0","2","1","Spink","","","1/1/1909","1/1/1934","4/2/2007","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","1","www.hsbsd.com","137","0","","0","0","0","0","0","0","0","0","0","0","","0","","","137","","0","0","0","0","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","0","","","0","","0","0","0","0","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","0","","","0","","0","0","0","0","","0","0","0","0","0","0","0"
"25851","0","833758","4361035","Heartland Tri-State Bank","Elkhart","KS","67950","9/30/2018","11/14/2018","SM","601 Morton Street","ELKHART FINANCIAL CORPORATION","2","0","0","2","0","Morton","","","1/2/1985","1/2/1985","12/1/2017","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","www.heartlandtristate.bank","762","293","","293","0","0","0","208","85","0","0","0","0","","0","","","1","","96","0","95","1","","372","0","0","372","0","0","0","1048","663","","663","0","0","0","0","153","0","510","510","0","","0","","","220","","9","0","9","0","","156","0","0","156","0","0","0","108","28","","28","0","0","0","0","1","0","27","27","0","","0","","","80","","0","0","0","0","","0","0","0","0","0","0","0"
"8811","12216","780722","2876544","Hebron Savings Bank","Hebron","MD","21830","9/30/2018","11/14/2018","NM","101 North Main Street","HSB BANCORP, INC.","13","0","0","4","0","Wicomico","41540","Salisbury, MD-DE","6/11/1910","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","http://www.hebronsavingsbank.com","4011","3095","0","3095","0","0","0","80","2040","0","975","975","0","","0","0","","914","0","2","0","2","0","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","11511","11018","0","11018","2568","125","2443","565","6196","0","1689","620","1069","","0","0","","493","0","0","0","0","0","","0","0","0","0","0","0","0"
"15729","12410","335346","1129494","Helena National Bank","Helena","AR","72342","9/30/2018","11/14/2018","N","302 Cherry Street","HELENA BANCSHARES, INC.","6","0","0","2","0","Phillips","","","4/1/1940","4/1/1940","3/12/2013","Stock","0","1","OCC","DIF","Dallas","DALLAS","Memphis","St. louis","Southern","Western","0","1","http://www.hnb.com","271","77","","77","0","0","0","0","76","0","1","1","0","","0","","","192","","2","0","0","2","","0","0","0","0","0","0","0","94","0","","0","0","0","0","0","0","0","0","0","0","","0","","","94","","0","0","0","0","","0","0","0","0","0","0","0","213","85","","85","18","18","0","0","67","0","0","0","0","","0","","","107","","21","0","20","1","","0","0","0","0","0","0","0"
"32718","13285","1414819","0","Helm Bank USA","Miami","FL","33131","9/30/2018","11/14/2018","NM","999 Brickell Avenue","","1","0","0","5","0","Miami-Dade","33100","Miami-Fort Lauderdale-West Palm Beach, FL","12/8/1989","12/8/1989","5/20/2009","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","South Florida","Atlanta","Southern","Southeast","0","1","http://www.helmbankusa.com","12093","11314","0","11314","0","0","0","0","11091","0","223","223","0","","0","0","","457","0","322","10","310","2","","0","0","0","0","0","0","0","391","391","0","391","0","0","0","0","175","0","216","216","0","","0","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","8212","8125","0","8125","0","0","0","0","8125","0","0","0","0","","0","0","","0","0","87","0","87","0","","0","0","0","0","0","0","0"
"29241","3155","849076","0","Henderson Federal Savings Bank","Henderson","TX","75652","9/30/2018","11/14/2018","SA","130 North Marshall Street","","1","0","0","5","0","Rusk","30980","Longview, TX","11/1/1934","12/13/1934","7/21/2011","Non-Stock","0","0","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.hendersonfederal.com","3362","3274","","3274","24","0","24","0","3250","0","0","0","0","","0","","","0","","78","0","59","19","","10","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","0","","","0","","0","0","0","0","","0","0","0","0","0","0","0","2653","1720","","1720","137","0","137","0","833","0","750","0","750","","0","","","862","","71","0","9","62","","0","0","0","0","0","0","0"
"17229","0","97055","1055847","Henderson State Bank","Henderson","NE","68371","9/30/2018","11/14/2018","NM","1040 North Main Street","HENDERSON STATE COMPANY","4","0","0","2","0","York","","","10/13/1943","6/17/1953","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","West","0","1","www.hendersonstatebank.net","5286","2320","","2320","0","0","0","2320","0","0","0","0","0","","0","","","2966","","0","0","0","0","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","0","","","0","","0","0","0","0","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","0","","","0","","0","0","0","0","","0","0","0","0","0","0","0"
"13111","10145","633640","1207552","Hendricks County Bank and Trust Company","Brownsburg","IN","46112","9/30/2018","11/14/2018","SM","1 East Main Street","MIDSTATE FINANCIAL CORPORATION","5","0","0","4","0","Hendricks","26900","Indianapolis-Carmel-Anderson, IN","1/1/1908","1/1/1934","7/27/2017","Stock","0","1","FED","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","www.hendrickscountybank.com","1285","1285","","1285","352","352","0","581","352","0","0","0","0","","0","","","0","","0","0","0","0","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","0","","","0","","0","0","0","0","","0","0","0","0","0","0","0","0","0","","0","0","0","0","0","0","0","0","0","0","","0","","","0","","0","0","0","0","","0","0","0","0","0","0","0"
"26372","0","574051","3792285","Heritage Bank","Pearland","TX","77581","9/30/2018","11/14/2018","SM","1850 Pearland Parkway","HERITAGE BANCORP, INC.","5","0","0","4","0","Brazoria","26420","Houston-The Woodlands-Sugar Land, TX","9/16/1985","9/16/1985","6/30/2014","Stock","0","0","FED","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","www.bankheritage.com","2335","2283","","2283","0","0","0","0","896","0","1387","1387","0","","0","","","0","","52","0","0","52","","0","0","0","0","0","1096","0","0","0","","0","0","0","0","0","0","0","0","0","0","","0","","","0","","0","0","0","0","","0","0","0","0","0","0","0","746","746","","746","0","0","0","0","746","0","0","0","0","","0","","","0","","0","0","0","0","","0","0","0","0","0","0","0"
"29012","2763","881478","2166124","Heritage Bank","Olympia","WA","98501","9/30/2018","11/14/2018","NM","201 5th Avenue, S.W.","HERITAGE FINANCIAL CORPORATION","69","0","1","4","0","Thurston","36500","Olympia-Tumwater, WA","1/1/1927","1/23/1935","7/2/2018","Stock","0","1","FDIC","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","West","0","1","www.heritagebanknw.com","5827","3902","0","3902","0","0","0","95","157","0","3650","1665","1985","","0","0","","252","0","1490","0","1460","30","","183","0","0","183","0","0","0","135","135","0","135","0","0","0","0","34","0","101","101","0","","0","0","","0","0","0","0","0","0","","0","0","0","0","0","0","0","14775","9886","0","9886","1076","0","1076","559","509","0","7742","4331","3411","","0","0","","3874","0","0","0","0","0","","1015","0","0","1015","0","4467","0"
