cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnlsnet,lnatres,lnlsgr,lncontra,idlnls,lnre,lnredom,lnrecons,lnrenres,LNRENROW,LNRENROT,lnremult,lnreres,lnreag,lnrefor,lnag,lnci,lncinus,lncon,lncrcd,lnconrp,LNAUTO,lnconoth,lnotci,lnfg,lnmuni,idothlns,ls,lndepac,lncomre,lnrenus,rslnltot,rslnls,LNRECNFM,LNRECNOT,RB2LNRES,lnlsgrf
"13102","8964","874845","1208906","Lake City Bank","Warsaw","IN","46581","9/30/2018","11/14/2018","SM","202 East Center Street","LAKELAND FINANCIAL CORPORATION","51","1","0","4","0","Kosciusko","","","1/1/1872","1/1/1934","12/31/2015","Stock","0","1","FED","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","www.lakecitybank.com","3798270","48343","3846613","0","3846613","2064237","2064237","245622","1091713","571636","520077","191843","375796","159263","","134857","1450346","0","82963","0","17762","36893","28308","114210","","17091","97119","0","0","74986","0","3512","2327","28042","217580","48343",""
"29049","2828","890078","0","Lake City Federal Bank","Lake City","MN","55041","9/30/2018","11/14/2018","SA","201 East Marion Street","","1","0","0","5","0","Wabasha","40340","Rochester, MN","7/1/1934","10/26/1934","7/21/2011","Non-Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","www.lcfederal.com","50780","1134","51914","0","51914","47441","47441","369","4896","3025","1871","1127","34813","6236","","1615","959","","1894","0","49","1226","619","5","","0","5","0","0","0","","0","0","129","240","537",""
"8193","11639","30650","1125085","Lake Community Bank","Long Lake","MN","55356","9/30/2018","11/14/2018","NM","1964 West Wayzata Boulevard","TYSAN CORPORATION, THE","1","0","0","4","0","Hennepin","33460","Minneapolis-St. Paul-Bloomington, MN-WI","8/19/1905","1/1/1934","9/1/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","www.lcbankmn.com","82121","1371","83492","0","83492","73311","73311","10906","31968","13341","18627","17287","13150","0","","0","7212","","876","0","96","385","395","2093","","2084","9","0","0","0","","224","0","7992","2914","1183",""
"17122","0","706450","1142868","Lake Country Community Bank","Morristown","MN","55052","9/30/2018","11/14/2018","NM","111 Division Street","MORRISTOWN HOLDING COMPANY","2","0","0","8","0","Rice","","","5/2/1928","7/1/1952","5/24/2016","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","www.lccbank.com","14532","289","14821","0","14821","10024","10024","128","1956","1924","32","500","6675","765","","0","3274","","387","0","65","229","93","1136","","0","34","1102","0","0","","999","223","0","128","159",""
"15443","9141","1015850","2360043","Lake Elmo Bank","Lake Elmo","MN","55042","9/30/2018","11/14/2018","NM","11465 39th Street North","LAKE ELMO BANCSHARES, INC.","7","0","0","4","1","Washington","33460","Minneapolis-St. Paul-Bloomington, MN-WI","8/1/1911","12/19/1936","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","http://www.lakeelmobank.com","243939","3481","247420","0","247420","217297","217297","28327","74116","45080","29036","3120","109843","1891","","179","17964","0","10710","0","166","5627","4917","1270","","1270","0","0","0","0","0","1708","1587","10501","17826","3071",""
"27589","14238","1917301","2260406","Lake Forest Bank & Trust Company, National Association","Lake Forest","IL","60045","9/30/2018","11/14/2018","N","727 North Bank Lane","WINTRUST FINANCIAL CORPORATION","8","0","0","4","0","Lake","16980","Chicago-Naperville-Elgin, IL-IN-WI","5/21/1986","12/26/1991","10/1/2017","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","0","www.lakeforestbank.com","2725546","20145","2745691","0","2745691","712930","712930","71933","423132","166893","256239","51260","159403","7202","0","1394","1787440","352743","182555","0","1665","125","180765","61372","0","13505","15671","32196","0","18433","0","3559","2363","13335","58598","20311","336764"
"10965","12357","164153","1125647","Lake Region Bank","New London","MN","56273","9/30/2018","11/14/2018","NM","51 Main Street","KANDI BANCSHARES, INC.","3","0","0","4","1","Kandiyohi","","","1/12/1915","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","0","1","www.lakeregion.com","58970","466","59436","0","59436","30365","30365","2706","16894","11998","4896","0","7612","3153","","1176","20847","","4456","0","184","1870","2402","2592","","2592","0","0","0","693","","0","0","1011","1695","466",""
"30530","5506","301574","0","Lake Shore Savings Bank","Dunkirk","NY","14048","9/30/2018","11/14/2018","SA","128 East 4th St","","12","0","0","4","0","Chautauqua","","","1/1/1891","12/19/1951","1/16/2013","Stock","0","0","OCC","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","0","1","www.lakeshoresavings.com","388466","3388","391854","0","391854","371098","371098","22750","100480","32435","68045","46832","201036","0","","0","19075","","1243","0","249","16","978","438","","0","438","0","0","502","","179","0","706","22044","3388",""
"8172","11663","11145","4764346","Lake-Osceola State Bank","Baldwin","MI","49304","9/30/2018","11/14/2018","NM","790 North Michigan Avenue","LAKE FINANCIAL CORPORATION","10","0","0","4","0","Lake","","","1/1/1908","1/1/1934","4/1/2015","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Grand Rapids","Chicago","Central","Central","0","1","www.losb.com","211092","2403","213495","0","213495","146400","146400","10009","68277","44411","23866","204","65441","2469","","75","13997","","51421","0","17","2739","48665","1602","","1602","0","0","0","0","","1692","710","2657","7352","2403",""
"19953","0","687009","1404799","Lakeland Bank","Newfoundland","NJ","7435","9/30/2018","11/14/2018","NM","2717 Route 23 South","LAKELAND BANCORP, INC.","51","0","1","4","0","Passaic","35620","New York-Newark-Jersey City, NY-NJ-PA","5/19/1969","5/19/1969","7/1/2016","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","1","www.lakelandbank.com","4292165","37293","4329458","0","4329458","3900126","3900126","298209","2283601","625884","1657717","523716","789975","4625","","0","322167","0","12708","0","921","4376","7411","94457","","0","10230","84227","0","0","0","7974","7211","82487","215722","39768",""
