cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,NTRCDSM,NTRTMMED,IDcd3less,IDcd3t12s,IDcd1t3s,IDcdov3s,NTRTMLGJ,IDcd3les,IDcd3t12,Idcd1t3,IDcdov3
"2224","13855","17950","1122310","Bank of Bridger, National Association","Bridger","MT","59014","9/30/2018","11/14/2018","N","101 South Main Street","BRIDGER COMPANY, THE","10","0","1","2","0","Carbon","13740","Billings, MT","5/1/1906","1/1/1934","1/20/2017","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","www.bankofbridger.com","32117","22353","13703","26992","10943","2832","34200","16368","15278","2554","0"
"9385","0","236256","1022063","Bank of Brookfield - Purdin, National Association","Brookfield","MO","64628","9/30/2018","11/14/2018","N","939 Park Circle Drive","CAPITAL BANCSHARES, INC.","4","0","0","2","1","Linn","","","12/14/1894","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Columbia Mo","Kansas City","Western","West","0","1","www.bankbp.com","11937","5693","3367","6835","6360","1069","0","0","0","0","0"
"35439","0","2877831","4361923","Bank of Brookhaven","Brookhaven","MS","39601","9/30/2018","11/14/2018","NM","411 Brookway Boulevard","HAVEN CAPITAL CORPORATION","1","0","0","4","0","Lincoln","","","1/31/2000","1/31/2000","3/31/2006","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Jackson Ms","Atlanta","Southern","West","0","1","www.bankofbrookhaven.com","22258","11150","5706","13361","13465","876","26088","1120","10968","11000","3000"
"2733","13402","825940","1096297","Bank of Buffalo","Buffalo","KY","42716","9/30/2018","11/14/2018","SM","2441 Greensburg Road","BUFFALO BANCSHARES, INC.","2","0","0","8","1","Larue","21060","Elizabethtown-Fort Knox, KY","1/7/1901","1/1/1934","3/31/2006","Stock","0","0","FED","DIF","Chicago","CHICAGO","Elizabethtown","St. louis","Central","Southeast","0","1","www.thebankofbuffalo.com","22363","13770","3445","13070","19616","2","1705","0","631","1074","0"
"20239","10994","904845","1249619","Bank of Cadiz and Trust Company","Cadiz","KY","42211","9/30/2018","11/14/2018","SM","Main And Scott Streets","CADIZ BANCORP, INC.","5","0","0","8","1","Trigg","17300","Clarksville, TN-KY","8/7/1970","8/7/1970","12/2/2013","Stock","0","1","FED","DIF","Chicago","CHICAGO","Hopkinsville","St. louis","Central","Southeast","0","1","http://www.bankofcadiz.com","14812","11874","4500","8449","7987","5750","2780","1625","817","0","338"
"8254","14055","833646","1096916","Bank of Cairo and Moberly","Moberly","MO","65270","9/30/2018","11/14/2018","SM","207 East Rollins Street","CAIRO/MOBERLY BANCSHARES, INC.","2","0","0","4","0","Randolph","","","4/14/1905","1/1/1934","3/31/2006","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Columbia Mo","St. louis","Western","West","0","1","www.bankbcm.com","6264","1521","3077","4019","448","242","853","853","0","0","0"
"12549","12789","960047","2753289","Bank of Calhoun County","Hardin","IL","62047","9/30/2018","11/14/2018","NM","Park And Main Streets","BCC BANCSHARES, INC.","3","0","0","8","0","Calhoun","41180","St. Louis, MO-IL","1/1/1898","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","St. louis","Central","Central","0","1","http://www.bankofcalhouncounty.com","13212","2636","2213","6513","4980","2142","5435","2525","2500","410","0"
"17190","11925","124830","2087939","Bank of Camilla","Camilla","GA","31730","9/30/2018","11/14/2018","NM","50 East Broad Street","CAMILLA BANCSHARES, INC.","2","0","0","2","0","Mitchell","","","1/1/1890","3/6/1953","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","http://www.bankofcamilla.net","11492","18480","5495","23468","794","215","2636","0","2636","0","0"
"12325","0","458946","3045815","Bank of Cashton","Cashton","WI","54619","9/30/2018","11/14/2018","NM","723 Main Street","EAGLE BANCSHARES, INC.","1","0","0","2","1","Monroe","","","3/15/1899","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Madison","Chicago","Central","Central","0","1","www.bankofcashton.com","13176","7012","2480","6202","8771","2734","3425","1500","1925","0","0"
"9406","0","92902","0","Bank of Cattaraugus","Cattaraugus","NY","14719","9/30/2018","11/14/2018","SM","24 Main Street","","1","0","0","7","0","Cattaraugus","","","3/30/1882","1/1/1934","3/31/2006","Stock","0","0","FED","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","0","1","","489","403","217","566","109","0","0","0","0","0","0"
