cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,scrdebt,scpt3les,scpt3t12,scpt1t3,scpt3t5,scpt5t15,scptov15,sco3yles,scoov3y,scnm3les,scnm3t12,scnm1t3,scnm3t5,scnm5t15,scnmov15,sc1les
"35050","0","2835756","0","TransCapital Bank","Sunrise","FL","33351","9/30/2018","11/14/2018","NM","8850 W Oakland Park Blvd","","3","0","0","4","1","Broward","33100","Miami-Fort Lauderdale-West Palm Beach, FL","7/26/1999","7/26/1999","4/20/2009","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","South Florida","Atlanta","Southern","Southeast","0","1","TransCapitalbank.bank","4053","0","0","0","0","0","0","0","0","100","0","0","200","3294","459","0"
"11178","0","908861","2649588","Transpecos Banks, SSB","Pecos","TX","79772","9/30/2018","11/14/2018","SM","115 West 3rd Street","TRANSPECOS FINANCIAL CORP.","3","0","0","4","1","Reeves","","","3/1/1924","1/1/1934","7/1/2016","Stock","0","1","FED","DIF","Dallas","DALLAS","Lubbock","Dallas","Southern","West","0","1","www.transpecosbanks.com","25674","0","0","0","0","8423","2972","112","3227","0","2033","354","227","4437","3889","2033"
"34781","0","2736219","4748766","Transportation Alliance Bank, Inc. d/b/a TAB Bank","Ogden","UT","84403","9/30/2018","11/14/2018","NM","4185 Harrison Blvd, # 200","TAB BANK HOLDINGS, INC.","1","0","0","4","1","Weber","36260","Ogden-Clearfield, UT","10/1/1998","10/1/1998","7/6/2016","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","West","0","1","http://www.tabbank.com","47180","0","0","0","0","0","0","4965","29047","210","0","54","3925","8194","785","210"
"14812","0","552545","1207785","Treynor State Bank","Treynor","IA","51575","9/30/2018","11/14/2018","NM","15 East Main Street","TREYNOR BANCSHARES, INC.","8","0","0","2","0","Pottawattamie","36540","Omaha-Council Bluffs, NE-IA","6/1/1923","10/16/1934","8/1/2016","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Chicago","Western","Western","0","1","www.tsbank.com","210848","0","0","0","0","0","2295","1994","17279","3155","3496","14136","19277","38336","110880","3656"
"18922","0","242444","1203974","Tri City National Bank","Oak Creek","WI","53154","9/30/2018","11/14/2018","N","6400 South 27th Street","TRI CITY BANKSHARES CORPORATION","35","0","0","4","0","Milwaukee","33340","Milwaukee-Waukesha-West Allis, WI","10/28/1963","10/28/1963","10/23/2009","Stock","0","1","OCC","DIF","Chicago","CHICAGO","Milwaukee","Chicago","Central","Central","0","1","www.tcnb.com","379055","0","0","0","7159","62064","5919","40111","142457","8390","4416","14551","13780","43284","36924","4597"
"21943","10395","100562","1030170","Tri Counties Bank","Chico","CA","95973","9/30/2018","11/14/2018","NM","63 Constitution Drive","TRICO BANCSHARES","83","0","0","4","0","Butte","17020","Chico, CA","3/11/1975","3/11/1975","7/6/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Sacramento","San Francisco","Western","Western","0","0","http://www.tcbk.com","1515857","497","4976","0","58","257418","794708","0","0","291233","1487","3823","9332","57929","94396","3486"
"10641","0","388557","3952940","Tri Valley Bank","Talmage","NE","68448","9/30/2018","11/14/2018","NM","223 Main Street","TRI VALLEY BANCSHARES, INC.","1","0","0","2","1","Otoe","","","9/1/1884","1/1/1934","3/31/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","West","0","1","http://banktrivalley.com","1174","0","0","0","0","0","0","0","0","0","0","0","0","357","817","0"
"977","14326","695349","1969506","Tri-County Bank","Brown City","MI","48416","9/30/2018","11/14/2018","SM","4222 Main Street","TRI-COUNTY BANCORP, INC.","12","0","0","2","0","Sanilac","","","5/29/1889","1/1/1934","3/31/2006","Stock","0","0","FED","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","http://www.tri-countybank.com","52401","0","0","0","121","8202","0","564","4254","1994","3641","15771","9872","7982","0","5635"
"210","9713","914545","1205286","Tri-County Bank & Trust Company","Roachdale","IN","46172","9/30/2018","11/14/2018","NM","18 East Washington Street","TRI-COUNTY BANCORP.","5","0","0","2","0","Putnam","26900","Indianapolis-Carmel-Anderson, IN","10/7/1892","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","tricountybank.net","75272","1","31","0","18","0","0","0","0","1923","8404","30585","19782","14528","0","10325"
"11465","0","835659","1064979","Tri-County Trust Company","Glasgow","MO","65254","9/30/2018","11/14/2018","NM","103 Commerce Street","BANCSHARES OF GLASGOW, INC.","1","0","0","2","1","Howard","","","1/1/1921","1/1/1934","8/19/2011","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Columbia Mo","Kansas City","Western","West","0","1","www.tricountytrust.com","13085","0","0","0","0","0","0","0","0","0","281","336","291","7176","5001","281"
"16511","0","515054","0","Tri-State Bank of Memphis","Memphis","TN","38116","9/30/2018","11/14/2018","NM","4606 Elvis Presley Blvd.","","1","0","0","4","0","Shelby","32820","Memphis, TN-MS-AR","12/16/1946","12/16/1946","8/13/2018","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Memphis","St. louis","Southern","Southeast","0","1","http://www.tristatebank.com","15019","307","392","0","733","78","478","0","0","0","3303","7811","1917","0","0","3304"
"12417","0","404943","0","Tri-Valley Bank","Randolph","IA","51649","9/30/2018","11/14/2018","NM","104 Main Street","","3","0","1","2","0","Fremont","","","1/1/1917","1/1/1934","5/1/2007","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Chicago","Western","Western","0","1","www.tri-valleycenters.com","15809","745","0","0","0","769","1192","1948","2525","2343","0","0","729","5043","515","3088"
"58121","0","3374382","3722376","Triad Bank","Frontenac","MO","63131","9/30/2018","11/14/2018","NM","10375 Clayton Road","TRIAD BANCORP, INC.","1","0","0","4","0","Saint Louis","41180","St. Louis, MO-IL","10/24/2005","10/24/2005","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.triadbanking.com","24772","0","0","0","0","0","0","0","0","992","6003","15751","325","1701","0","4508"
"24677","10888","283652","1129690","Triad Bank, National Association","Tulsa","OK","74133","9/30/2018","11/14/2018","N","7666 E. 61st St., Suite 150","TRIAD BANCSHARES, INC.","2","0","0","4","1","Tulsa","46140","Tulsa, OK","8/29/1983","8/29/1983","3/31/2013","Stock","0","0","OCC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","Triadbank.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"18109","0","196752","2723862","TriCentury Bank","De Soto","KS","66018","9/30/2018","11/14/2018","NM","33485 Lexington Avenue","ASTRA FINANCIAL CORPORATION","2","0","0","4","0","Johnson","28140","Kansas City, MO-KS","3/13/1909","11/16/1959","10/14/2018","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","Western","0","1","http://www.tricentury.bank","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"58206","0","3424483","5140602","Trinity Bank","Dothan","AL","36302","9/30/2018","11/14/2018","NM","1479 West Main Street","TRINITY BANCORP, INC.","3","0","0","4","0","Houston","20020","Dothan, AL","2/24/2006","2/24/2006","11/1/2013","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Montgomery","Atlanta","Southern","Southeast","0","1","http://www.trinitybankusa.com","12248","261","0","0","0","317","22","0","0","0","996","0","1797","8186","669","996"
"57543","0","3185896","0","Trinity Bank, N.A.","Fort Worth","TX","76107","9/30/2018","11/14/2018","N","3500 West Vickery Boulevard","","1","0","0","4","0","Tarrant","19100","Dallas-Fort Worth-Arlington, TX","5/28/2003","5/28/2003","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","http://WWW.TRINITYBK.COM","79235","0","0","0","0","0","0","0","0","170","2304","6553","10569","57470","2169","2474"
"35417","0","2871099","3442795","TriStar Bank","Dickson","TN","37055","9/30/2018","11/14/2018","NM","719 East College Street","TRISTAR BANCSHARES, INC.","5","0","0","4","0","Dickson","34980","Nashville-Davidson-Murfreesboro-Franklin, TN","1/1/2000","1/1/2000","11/19/2012","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","0","1","www.tristar.bank","49499","1222","0","0","0","0","774","10001","16029","2056","1999","3025","1842","5565","6986","1999"
"58457","0","3475083","3475074","Tristate Capital Bank","Pittsburgh","PA","15219","9/30/2018","11/14/2018","NM","1 Oxford Center, 27th Floor","TRISTATE CAPITAL HOLDINGS, INC","2","0","0","4","0","Allegheny","38300","Pittsburgh, PA","1/22/2007","1/22/2007","8/17/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Wexford","Cleveland","Northeastern","Northeast","0","1","http://www.tscbank.com","362485","7461","0","0","0","4422","12929","21690","13492","25658","14228","112901","59791","69955","19958","16227"
"58227","0","3395293","3409994","Triumph Bank","Memphis","TN","38119","9/30/2018","11/14/2018","SM","5699 Poplar Avenue","TRIUMPH BANCSHARES, INC.","7","0","0","4","0","Shelby","32820","Memphis, TN-MS-AR","6/5/2006","6/5/2006","9/19/2013","Stock","0","0","FED","DIF","Dallas","DALLAS","Memphis","St. louis","Southern","Southeast","0","1","www.triumphbank.com","132740","0","412","1293","2163","24919","6105","820","11953","5284","13195","16410","26030","24156","0","15575"
"1906","0","803256","1127306","Triumph State Bank","Trimont","MN","56176","9/30/2018","11/14/2018","NM","519 Main Street East","TRIMONT BANCORPORATION","3","0","0","2","0","Martin","","","10/1/1901","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","0","1","http://www.triumphbanks.com","7726","0","0","0","150","0","0","0","0","0","1473","1905","3399","799","0","1473"
"5598","9810","134437","1080139","Troy Bank & Trust Company","Troy","AL","36081","9/30/2018","11/14/2018","NM","1000 Highway 231 South","TRUST NO. 3 UNDER THE WILL OF CHARLES HENDERSON","11","0","0","4","0","Pike","","","1/1/1906","1/1/1934","7/1/2008","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Montgomery","Atlanta","Southern","Southeast","0","1","http://www.troybankandtrust.com","264025","20555","695","0","535","1870","5588","59","2469","88253","9280","24770","18252","75371","16328","13449"
"25267","0","862141","2048789","TruBank","Indianola","IA","50125","9/30/2018","11/14/2018","NM","1401 N Jefferson, Orchard Pl","COMMUNITY BANCSHARES CORP.","8","0","0","4","0","Warren","19780","Des Moines-West Des Moines, IA","1/1/1883","7/11/1984","12/1/2016","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Des Moines","Chicago","Western","Western","0","1","http://www.trubank.bank","61072","0","0","0","0","0","0","1012","2373","2230","8105","15558","20159","11317","318","10327"
"21883","11947","274829","2227687","TruPoint Bank","Grundy","VA","24614","9/30/2018","11/14/2018","SM","20089 Riverside Drive","MINERS AND MERCHANTS BANCORP, INC.","13","0","1","4","0","Buchanan","","","1/2/1975","1/2/1975","3/31/2006","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","1","www.trupointbank.com","109944","187","658","0","0","43910","6960","3762","18543","4998","198","483","3233","20674","6338","198"
