cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,IDdepsam,IDdepsmb,DEPSMRA,DEPSMRN,NTRCDSMJ,IDdeplam,IDdeplgb,DEPLGRA,DEPLGRN,TRNNIA,TRNNIN,NTRTMLGJ
"11935","0","444350","1100813","First Texas Bank","Georgetown","TX","78626","9/30/2018","11/14/2018","NM","900 Austin Avenue","FIRST TEXAS BANCORP, INC.","8","0","0","4","0","Williamson","12420","Austin-Round Rock, TX","1/1/1898","1/1/1934","6/17/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","http://WWW.FIRSTTEXASBANK.NET","364867","21846","5799","321","36016","217824","325","856","3","","","9112"
"3293","0","875758","1100813","First Texas Bank","Lampasas","TX","76550","9/30/2018","11/14/2018","NM","501 East Third Street","FIRST TEXAS BANCORP, INC.","2","0","0","8","0","Lampasas","28660","Killeen-Temple, TX","10/2/1884","1/1/1934","6/17/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","http://www.firsttexbank.com","71142","4891","1632","89","7918","48904","69","0","0","","","4812"
"22551","0","688257","1100813","First Texas Bank","Killeen","TX","76542","9/30/2018","11/14/2018","NM","3514 South Ws Young Drive","FIRST TEXAS BANCORP, INC.","6","0","0","7","0","Bell","28660","Killeen-Temple, TX","11/16/1977","11/16/1977","6/17/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","http://www.firsttexasbank.com","162351","11325","2602","172","16270","109905","137","0","0","","","1371"
"13905","12043","388155","1141227","First Texoma National Bank","Durant","OK","74701","9/30/2018","11/14/2018","N","220 West Main Street","FNB FINANCIAL SERVICES, INC.","6","0","1","4","0","Bryan","","","7/8/1898","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","www.ftnb.net","106913","13054","6355","211","31953","46569","99","312","1","","","11694"
"8333","52582","570651","1054895","First Tri County Bank","Swanton","NE","68445","9/30/2018","11/14/2018","NM","105 Main St.","SWANTON AGENCY, INC.","2","0","0","2","0","Saline","","","4/1/1894","1/1/1934","6/3/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","West","0","1","www.ftcb1.com","33231","2927","2974","121","12990","11048","22","0","0","","","903"
"5754","15345","583138","1125487","First Trust & Savings Bank of Albany, Illinois","Albany","IL","61230","9/30/2018","11/14/2018","NM","209 South Main Street","ALBANY BANCSHARES, INC.","4","0","0","8","1","Whiteside","","","1/1/1902","1/1/1934","7/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","0","1","www.efirsttrust.com","96638","8527","7812","462","35302","50730","68","597","2","","","10928"
"10123","14540","84046","0","First Trust and Savings Bank","Coralville","IA","52241","9/30/2018","11/14/2018","NM","1831 Second Street","","2","0","0","2","0","Johnson","26980","Iowa City, IA","4/15/1931","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","www.ft-sb.com","24307","1541","811","31","13837","11747","8","0","0","","","260"
"8752","12271","640442","1206014","First Trust and Savings Bank","Wheatland","IA","52777","9/30/2018","11/14/2018","NM","123 S. Main St.","WHEATLAND BANCORPORATION","6","0","0","2","1","Clinton","","","1/1/1905","1/1/1934","12/14/2007","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","http://www.firsttrustsavings.com","113345","6633","4700","201","68499","30380","50","1022","3","","","6313"
"34778","0","2718596","3249109","First Trust Bank of Illinois","Kankakee","IL","60901","9/30/2018","11/14/2018","NM","275 East Court Street","FIRST TRUST FINANCIAL CORP.","4","0","0","4","0","Kankakee","28100","Kankakee, IL","7/30/1998","7/30/1998","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Champaign","Chicago","Central","Central","0","1","www.firsttrustbankil.com","130104","6318","4903","313","43153","43420","88","293","1","","","8964"
"15472","0","1011955","1140266","First United Bank","Park River","ND","58270","9/30/2018","11/14/2018","NM","503 Briggs Avenue South","FIRST HOLDING COMPANY OF PARK RIVER, INC","9","0","0","2","1","Walsh","","","1/1/1886","1/1/1934","5/13/2017","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","www.firstunitedonline.com","134236","8388","6693","501","46099","59276","99","0","0","","","3449"
