cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,lnls,lnrs3les,lnrs3t12,lnrs1t3,lnrs3t5,lnrs5t15,lnrsov15,lnot3les,lnot3t12,lnot1t3,lnot3t5,lnot5t15,lnotov15
"29449","3468","375379","0","North Side Federal Savings and Loan Association of Chicago","Chicago","IL","60640","9/30/2018","11/14/2018","SA","5159 N Clark St","","1","0","0","5","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","1/1/1934","6/10/1935","6/26/2014","Non-Stock","0","0","OCC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","www.northsidefederal.com","22834","1","0","401","160","4574","10543","3347","0","23","288","933","2020"
"16733","0","750051","0","North Star Bank","Roseville","MN","55113","9/30/2018","11/14/2018","NM","1820 North Lexington Avenue","","2","0","0","4","1","Ramsey","33460","Minneapolis-St. Paul-Bloomington, MN-WI","2/3/1947","9/14/1948","6/4/2018","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","http://WWW.NORTHSTARBANK.COM","184582","1405","404","2266","4238","2058","915","48671","6465","33212","42217","42731","0"
"35519","0","2915461","3109070","North State Bank","Raleigh","NC","27609","9/30/2018","11/14/2018","SM","6204 Falls Of The Neuse Rd.","NORTH STATE BANCORP","7","0","0","4","1","Wake","39580","Raleigh, NC","6/1/2000","6/1/2000","9/1/2015","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Raleigh","Richmond","Northeastern","Southeast","0","1","http://www.northstatebank.com","741176","32099","10764","17333","29380","57673","42484","147289","35405","86508","159085","116145","5973"
"18710","0","350750","1050226","North Valley Bank","Thornton","CO","80229","9/30/2018","11/14/2018","NM","9001 N. Washington Street","CITIZENS INVESTMENT COMPANY","2","0","0","4","1","Adams","19740","Denver-Aurora-Lakewood, CO","2/25/1963","2/25/1963","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","http://www.nvbank.com","137715","2736","11317","24167","16984","617","0","13716","10279","42011","10972","4916","0"
"2284","15598","783910","3264193","North Valley Bank","Zanesville","OH","43701","9/30/2018","11/14/2018","SM","2775 Maysville Pike","NORTH VALLEY BANCSHARES, INC.","5","0","0","4","0","Muskingum","","","11/4/1904","1/1/1934","1/1/2016","Stock","0","0","FED","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.nvboh.com","153048","1959","7275","13391","10461","8658","405","34081","7890","22978","25344","16881","3125"
"57082","0","2938198","2260406","Northbrook Bank and Trust Company","Northbrook","IL","60062","9/30/2018","11/14/2018","SM","1100 Waukegan Road","WINTRUST FINANCIAL CORPORATION","8","0","0","4","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","11/22/2000","11/22/2000","7/8/2011","Stock","0","0","FED","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","0","www.northbrookbank.com","1570980","13452","7536","16421","20395","17029","2950","1039929","208395","87544","102846","47414","904"
"19690","7705","468806","2324111","Northeast Bank","Lewiston","ME","4240","9/30/2018","11/14/2018","NM","500 Canal Street","NORTHEAST BANCORP","12","0","0","4","0","Androscoggin","30340","Lewiston-Auburn, ME","2/5/1872","3/16/1967","6/12/2014","Stock","0","1","FDIC","DIF","New York","NEW YORK","Concord","Boston","Northeastern","Northeast","0","1","www.northeastbank.com","890347","24784","16897","9341","3450","10123","20040","492331","83162","115569","44289","33508","25358"
"16659","14192","689357","1122422","Northeast Bank","Minneapolis","MN","55413","9/30/2018","11/14/2018","NM","77 Broadway Street, N.E.","NORTHEAST SECURITIES CORPORATION","3","0","0","4","1","Hennepin","33460","Minneapolis-St. Paul-Bloomington, MN-WI","1/3/1948","1/3/1948","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","northeastbank-mn.com","383235","2966","2078","8468","22123","1382","0","82339","17609","54815","96765","85930","8600"
"29147","2995","823478","0","NorthEast Community Bank","White Plains","NY","10601","9/30/2018","11/14/2018","SB","325 Hamilton Avenue","","8","0","1","4","0","Westchester","35620","New York-Newark-Jersey City, NY-NJ-PA","9/1/1934","11/14/1934","1/1/2016","Stock","0","0","FDIC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","http://www.necb.com","751347","0","1091","5943","6026","0","219","468025","44859","109485","80147","33670","143"
"15771","13331","888833","1085572","Northeast Georgia Bank","Lavonia","GA","30553","9/30/2018","11/14/2018","NM","69 Augusta Road","FIRST SECURITY BANKSHARES, INC.","12","0","0","2","1","Franklin","","","1/1/1934","9/23/1940","3/6/2009","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","www.northeastgabank.com","231609","1233","3294","8654","10104","6168","726","16529","23582","52387","40687","58660","8317"
"13381","0","651158","1100055","Northeast Missouri State Bank","Kirksville","MO","63501","9/30/2018","11/14/2018","NM","600 South Baltimore","SCHUYLER COUNTY BANCSHARES, INC.","2","0","0","2","1","Adair","","","12/20/1933","1/2/1934","4/10/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Columbia Mo","St. louis","Western","West","0","1","","47696","784","2097","2379","4944","156","91","4656","9772","7614","10546","3375","1237"
"18384","12274","442244","1206201","Northeast Security Bank","Sumner","IA","50674","9/30/2018","11/14/2018","NM","108 North Carpenter","INDEPENDENCE BANCSHARES, INC.","7","0","0","2","0","Bremer","47940","Waterloo-Cedar Falls, IA","1/1/1888","5/11/1961","3/19/2018","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","www.bankNSB.com","158047","653","2258","6602","4581","6735","3098","33556","13159","32555","30213","21851","2625"
"18266","13346","900306","1246935","Northern Bank & Trust Company","Woburn","MA","1801","9/30/2018","11/14/2018","NM","275 Mishawum Road","NORTHERN BANCORP, INC.","14","0","0","4","0","Middlesex","14460","Boston-Cambridge-Newton, MA-NH","2/25/1960","6/23/1960","7/17/2018","Stock","0","1","FDIC","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","0","1","www.nbtc.com","1887109","10495","21205","29970","60741","84619","15613","200423","336087","443956","545904","90462","25112"
"58224","0","3435948","0","Northern California National Bank","Chico","CA","95926","9/30/2018","11/14/2018","N","1717 Mangrove Ave, # 100","","1","0","0","4","0","Butte","17020","Chico, CA","3/28/2006","3/28/2006","3/2/2018","Stock","0","0","OCC","DIF","San Francisco","SAN FRANCISCO","Sacramento","San Francisco","Western","Western","0","1","http://www.norcalbank.com","103883","644","556","1443","4412","10730","2608","14788","6964","4674","10204","46219","593"
"13784","11375","289056","1871588","Northern Interstate Bank, N. A.","Norway","MI","49870","9/30/2018","11/14/2018","N","501 West Us 2","NORTHERN INTERSTATE FINANCIAL, INC.","8","0","0","8","0","Dickinson","","","6/12/1901","1/29/1934","4/1/2017","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Appleton","Minneapolis","Central","Central","0","1","www.banknib.com","89145","1505","2911","13049","16255","7238","433","8472","5740","14820","11474","6853","295"
"10196","0","374354","1126907","Northern Sky Bank","Crookston","MN","56716","9/30/2018","11/14/2018","NM","1901 Sahlstrom Drive","CROOKSTON FINANCIAL SERVICES, INC.","1","0","0","2","1","Polk","24220","Grand Forks, ND-MN","1/1/1916","1/1/1934","12/12/2016","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","www.northernskybank.com","41074","666","789","1702","6223","988","0","4598","4251","8085","12032","1700","0"
"15242","0","625757","1127799","Northern State Bank","Ashland","WI","54806","9/30/2018","11/14/2018","NM","321 West Main Street","BAY AREA BANKING SHARES, INC.","8","0","1","4","1","Ashland","","","9/5/1933","1/1/1934","3/19/2010","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Eau Claire","Minneapolis","Central","Central","0","1","http://www.nsbashland.com","155450","5287","13413","9474","23165","11877","4315","22090","11766","9873","23025","13424","7675"
