cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,ntlnlsr,ntrer,ntrecosr,ntrenrsr,ntremulr,ntreresr,ntrelocr,ntreothr,idntcir,idntconr,idntcrdr,idntcoor,idntator,idntcotr,ntcomrer
"17482","10779","666657","3254952","Guaranty Bank and Trust Company","Denver","CO","80202","9/30/2018","11/14/2018","SM","1331 17th Street","GUARANTY BANCORP","32","0","0","4","0","Denver","19740","Denver-Aurora-Lakewood, CO","6/30/1955","8/15/1955","10/28/2017","Stock","0","1","FED","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","https://www.guarantybankco.com","1.97263996659925E-02","-1.87748073764107E-02","-5.79353938544214E-02","-9.43008601585602E-03","0","-4.19634940847087E-02","1.7366891913949E-03","-5.01379018168366E-02","1.85896955777911E-02","0.84658767365851","","0.84658767365851","-0.304186841355739","0.862564901555265","0"
"17767","11799","289739","1083158","Guaranty Bank and Trust Company","New Roads","LA","70760","9/30/2018","11/14/2018","NM","175 New Roads Street","GREAT GUARANTY BANCSHARES, INC.","6","0","0","4","0","Pointe Coupee","12940","Baton Rouge, LA","6/29/1957","6/29/1957","3/23/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","http://www.guaranty-bnk.com","0.032309140775308","3.11435405542535E-02","0.168894129979036","0","0","0","","0","1.73850527760531E-02","0.174140264103402","","0.17432690961691","0.271479410269446","0.152483282848488",""
"10907","14678","1009756","1064009","Guaranty State Bank and Trust Company","Beloit","KS","67420","9/30/2018","11/14/2018","NM","201 South Mill Street","GUARANTY, INC.","7","0","0","2","0","Mitchell","","","1/23/1922","1/2/1934","5/6/2017","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Hays","Kansas City","Western","Western","0","1","http://www.guarantystate.com","2.78481945769736E-02","-1.80817180645781E-02","0","0","0","0","0","0","0","-0.103108708244835","","-0.102722533307588","-8.65744507729862E-02","-0.126275812959886",""
"57127","0","2989006","1493636","Guardian Bank","Valdosta","GA","31602","9/30/2018","11/14/2018","NM","701 Wildwood Plantation Dr.","WB&T BANKSHARES, INC.","5","0","0","4","1","Lowndes","46660","Valdosta, GA","5/1/2001","5/1/2001","3/9/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","https://www.guardianbankonline.com","-1.45610504139187E-02","-3.72308381780491E-02","0.40511233074425","-0.211773114821055","0","-4.03898299315869E-03","0","-4.20068910180771E-03","9.78361397528109E-02","0.144317498496693","","0.144317498496693","5.40156361051883E-02","0.182307462304045",""
"29986","4485","823076","0","Guardian Savings Bank","Granite City","IL","62040","9/30/2018","11/14/2018","SB","3800 Nameoki Road","","1","0","0","5","0","Madison","41180","St. Louis, MO-IL","1/1/1919","9/13/1944","6/30/2014","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","0","1","www.bankguardian.com","9.43767551909427E-02","5.94977922483386E-02","","0","","0.073139974779319","0","7.85653287788215E-02","","4.34782608695652","","4.34782608695652","0","4.38356164383562",""
"27998","709","727174","0","Guardian Savings Bank, A Federal Savings Bank","West Chester","OH","45069","9/30/2018","11/14/2018","SA","6100 West Chester Road","","11","0","1","5","1","Butler","17140","Cincinnati, OH-KY-IN","1/1/1895","2/3/1953","11/2/2012","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","0","1","www.guardiansavingsbank.com","-0.05357087015233","-5.35716654800179E-02","0","0","0","-6.14714569622598E-02","0","-6.26837868405296E-02","","0","","0","","0",""
"20353","0","459130","1085929","Gulf Coast Bank","Abbeville","LA","70510","9/30/2018","11/14/2018","NM","221 South State Street","GULF COAST BANCSHARES, INC.","13","0","0","4","0","Vermilion","29180","Lafayette, LA","2/1/1971","2/1/1971","3/31/2006","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","www.gcbank.com","0.250987831668366","0.139770227030321","5.84473794298691E-02","9.93828416744925E-02","0","0.227872524376525","0","0.248430568343517","0.559363385548487","0.351565918609739","","0.351565918609739","0.103245789507647","1.30059735846989","0"
"32974","9265","1458608","0","Gulf Coast Bank and Trust Company","New Orleans","LA","70130","9/30/2018","11/14/2018","NM","200 St. Charles Avenue","","32","0","1","4","1","Orleans","35380","New Orleans-Metairie, LA","6/8/1990","6/8/1990","3/31/2006","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","0","www.gulfbank.com","0.273065831918146","8.15651640493837E-03","-6.47576646767176E-03","2.68257813814891E-02","0","-8.58203960232356E-03","-1.79046811317643E-03","-1.04681506516424E-02","0.827664581973884","0.760647926837869","0.445093336114298","0.786286837601044","0","0.788887094168955",""
"30388","5267","388874","0","Gunnison Savings and Loan Association","Gunnison","CO","81230","9/30/2018","11/14/2018","SA","303 North Main St","","2","0","0","5","0","Gunnison","","","1/1/1911","9/12/1949","7/21/2011","Non-Stock","0","0","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","WWW.GunnisonSL.com","0","0","0","0","0","0","0","0","0","0","","0","0","0",""
"1250","0","805670","2650454","Gunnison Valley Bank","Gunnison","UT","84634","9/30/2018","11/14/2018","NM","10 South Main Street","GV BANCORP EMPLOYEE STOCK OWNERSHIP PLAN","1","0","0","2","1","Sanpete","","","1/1/1909","1/1/1934","2/23/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","West","0","1","","11.4510202466585","5.01069550316138","105.354601226994","0","","-8.76703332786078E-02","","-8.76703332786078E-02","19.5744876439734","10.0696301110451","","10.0696301110451","7.94977438839794","17.4679009861139",""
