cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,sc,scus,scust,scage,scmuni,SCDOMO,idscod,sccmmb,scabs,scsfp,scodot,scford,IDSCEQ,sceq,SCEQFV,idahta,scres,scpledge,scmtgbk,idscgtpc,scgty,scodpc,idsccmo,sccol,scodpi,idsccmt,sccmpt,sccmot,scha,scaf,scrdebt,scsnhaa,scsnhaf,trade,idtrrval,trlreval
"12219","0","345756","1416550","First State Bank of St. Charles, Missouri","St. Charles","MO","63301","9/30/2018","11/14/2018","NM","206 North Fifth Street","FIRST STATE BANCSHARES, INC.","8","0","1","4","0","Saint Charles","41180","St. Louis, MO-IL","5/10/1867","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.fsbfinancial.com","56925","36667","0","36667","20258","0","0","0","0","0","0","0","0","0","0","","","9157","36667","24823","24823","0","9573","9573","0","2271","2271","0","0","56925","56925","0","0","0","0","0"
"11302","0","426141","2294634","First State Bank of St. Peter","Saint Peter","IL","62880","9/30/2018","11/14/2018","SM","200 East Third St","ST. PETER BANCSHARES, INC.","1","0","0","2","0","Fayette","","","4/25/1908","1/1/1934","3/31/2006","Stock","0","0","FED","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","0","1","www.fsbstpeter.com","15950","8955","0","8955","6995","0","0","0","0","0","0","0","0","0","0","","","1000","3","3","3","0","0","0","0","0","0","0","6995","8955","15950","9488","8952","0","0",""
"8218","0","833851","1124622","First State Bank of Swanville","Swanville","MN","56382","9/30/2018","11/14/2018","NM","306 Degraff St","SWANVILLE BANCSHARES, INC.","2","0","0","4","1","Morrison","","","5/1/1907","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","http://www.fsbswanville.com","467","251","245","6","216","0","0","0","0","0","0","0","0","0","0","","","0","6","6","6","0","0","0","0","0","0","0","0","467","467","0","0","0","0",""
"11922","0","190563","4935502","First State Bank of Texas","Three Rivers","TX","78071","9/30/2018","11/14/2018","NM","422 Dibrell Avenue","COUNTY BANCSHARES, INC.","3","0","0","4","1","Live Oak","","","8/12/1914","1/1/1934","7/18/2018","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","1","www.fsboftx.com","13445","12695","9201","3494","750","0","0","0","0","0","0","0","0","0","0","","","5208","551","551","551","0","0","0","0","0","0","0","750","12695","13445","0","0","0","0",""
"17509","13362","191935","3897519","First State Bank of the Florida Keys","Key West","FL","33040","9/30/2018","11/14/2018","NM","1201 Simonton Street","FIRST STATE BANK OF THE FLORIDA KEYS HOLDING COMPANY","12","0","0","4","1","Monroe","","","10/29/1955","10/29/1955","3/31/2006","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","South Florida","Atlanta","Southern","Southeast","0","1","keysbank.com","281586","222151","0","222151","10290","49145","0","0","0","0","49145","0","0","0","0","","","94493","167786","167786","167786","0","0","0","0","0","0","0","4000","277586","281587","0","0","0","0",""
"21050","0","250430","1132289","First State Bank of the South, Inc.","Sulligent","AL","35586","9/30/2018","11/14/2018","NM","5856 Highway 278","FIRST STATE HOLDING CORP.","5","0","0","7","0","Lamar","","","4/20/1973","4/20/1973","2/24/2011","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","0","1","WWW.FIRSTSTATEBANKSOUTH.COM","43616","14684","0","14684","28432","500","0","0","0","0","500","0","0","0","0","","","8614","7016","7016","7016","0","0","0","0","0","0","0","1033","42583","43616","2999","2878","0","0",""
"2710","9223","961811","1070998","FIRST STATE BANK OF THE SOUTHEAST, INC","Middlesboro","KY","40965","9/30/2018","11/14/2018","NM","1810 Cumberland Avenue","FIRST STATE BANCSHARES, INC.","10","0","1","4","1","Bell","","","1/4/1904","1/1/1934","1/24/2018","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","www.ourfsb.bank","37878","27391","2490","24901","9519","968","0","0","0","0","968","0","0","0","0","","","28572","17779","11864","11864","0","5131","5131","0","784","784","0","0","37878","37878","0","0","0","0","0"
"9978","0","273662","1102451","First State Bank of Uvalde","Uvalde","TX","78801","9/30/2018","11/14/2018","NM","200 East Nopal Street","BRISCOE RANCH, INC.","8","0","0","9","0","Uvalde","","","7/6/1907","1/1/1934","6/25/2015","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Austin","Dallas","Southern","West","0","0","www.fsbuvalde.com","812999","505013","96784","408229","307986","0","0","0","0","0","0","0","0","0","0","","","353612","227634","156431","156431","0","71203","71203","0","0","0","0","0","812999","812999","169632","159393","0","0","0"
"10809","0","472148","2795140","First State Bank of Van Orin","Van Orin","IL","61374","9/30/2018","11/14/2018","NM","27875 2600 E Street","VAN ORIN BANCORP, INC.","2","0","0","2","1","Bureau","","","12/26/1919","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Princeton","Chicago","Central","Central","0","1","http://vanorinbank.com","14780","12734","0","12734","2046","0","0","0","0","0","0","0","0","0","0","","","3497","8402","8402","8402","0","0","0","0","0","0","0","967","13813","14780","0","0","0","0",""
"15804","11209","835958","1128983","First State Bank of Wabasha","Wabasha","MN","55981","9/30/2018","11/14/2018","NM","111 West Main Street","WABASHA HOLDING COMPANY","2","0","0","7","1","Wabasha","40340","Rochester, MN","8/9/1881","3/24/1941","3/27/2014","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","http://www.fsbwabasha.com","57688","37014","7951","29063","20423","251","1","0","0","0","250","0","0","0","0","","","33005","8664","6988","6988","0","1676","1675","1","0","0","0","0","57688","57688","0","0","0","0",""
"94","0","843542","1097463","First State Bank of Warren","Warren","AR","71671","9/30/2018","11/14/2018","SM","104 S Main Street","BRADLEY BANCSHARES, INC.","4","0","0","4","1","Bradley","","","1/1/1890","1/1/1934","2/3/2014","Stock","0","1","FED","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Western","0","1","http://www.firststatewarren.com","55544","35398","0","35398","20146","0","0","0","0","0","0","0","0","0","0","","","31866","26","26","26","0","0","0","0","0","0","0","28423","27121","55544","34602","32473","0","0",""
