cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,eintexp,edepdom,edepfor,efrepp,ettlotmg,IDEOTHINT,esubnd
"15774","0","389059","2249371","The Tilden Bank","Tilden","NE","68781","9/30/2018","11/14/2018","SM","100 E. 2nd Street","TILDEN BANCSHARES, INC.","3","0","0","2","0","Madison","","","7/23/1887","1/1/1934","8/12/2009","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Sioux City","Kansas City","Western","West","0","1","http://www.tildenbank.com","240","240","","0","","0",""
"1941","15518","984856","1097744","The Tipton Latham Bank, National Association","Tipton","MO","65081","9/30/2018","11/14/2018","N","800 West Highway 50","LATHAM BANCSHARES, INC.","2","0","0","2","1","Moniteau","27620","Jefferson City, MO","12/29/1906","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Columbia Mo","St. louis","Western","West","0","1","www.tiptonlathambank.com","1075","1075","","0","","0",""
"16636","12135","65205","0","The Torrington Savings Bank","Torrington","CT","6790","9/30/2018","11/14/2018","SB","129 Main Street","","9","0","0","5","0","Litchfield","","","8/15/1868","10/22/1947","3/31/2006","Non-Stock","0","1","FDIC","DIF","New York","NEW YORK","Hartford","Boston","Northeastern","Northeast","0","1","www.torringtonsavings.com","4009","4009","","0","","0",""
"16339","0","657954","1058697","The Tri-County Bank","Stuart","NE","68780","9/30/2018","11/14/2018","NM","106 N. Main St","TRI-COUNTY COMPANY","4","0","0","2","0","Holt","","","11/17/1945","11/17/1945","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux City","Kansas City","Western","West","0","1","www.tricountybank.com","649","567","","9","","73",""
"13832","0","894834","2730495","The Trust Bank","Lenox","GA","31637","9/30/2018","11/14/2018","NM","50 West Central Ave","TRUST HOLDING COMPANY, INC.","3","0","0","4","1","Cook","","","6/25/1907","1/1/1934","3/24/2011","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","www.thetrustbank.net","108","108","","0","","0",""
"7789","10448","906410","1142813","The Turbotville National Bank","Turbotville","PA","17772","9/30/2018","11/14/2018","N","4710 State Route 54","TURBOTVILLE NATIONAL BANCORP, INC.","1","0","0","2","0","Northumberland","","","1/1/1910","1/1/1934","10/30/2006","Stock","0","0","OCC","DIF","New York","NEW YORK","Harrisburg","Philadelphia","Northeastern","Northeast","0","1","www.ttnb.com","773","773","","0","","0",""
"13802","0","381026","0","The Twin Valley Bank","West Alexandria","OH","45381","9/30/2018","11/14/2018","SM","2 East Dayton Street","","3","0","0","8","0","Preble","","","1/1/1888","2/5/1934","2/1/2014","Stock","0","0","FED","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","0","1","www.twinvalleybank.com","257","237","","0","20","","0"
"9420","0","852254","1126372","The Union Bank","Beulah","ND","58523","9/30/2018","11/14/2018","NM","1700 Highway 49 North","UNION HOLDING COMPANY","4","0","0","2","0","Mercer","","","1/1/1899","1/1/1934","8/1/2013","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","www.theunionbank.com","642","638","","0","","4",""
"8800","14663","144436","1084566","The Union Bank","Marksville","LA","71351","9/30/2018","11/14/2018","NM","305 North Main Street","UNION BANCSHARES, INCORPORATED","10","0","0","4","0","Avoyelles","","","9/3/1910","1/1/1934","1/5/2009","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","www.union-bank.com","1569","1264","","0","","305",""
"12969","9881","780218","1136009","The Union Bank Company","Columbus Grove","OH","45830","9/30/2018","11/14/2018","NM","105 Progressive Drive","UNITED BANCSHARES, INC.","19","0","0","4","0","Putnam","","","11/21/1904","1/1/1934","9/9/2017","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","http://www.theubank.com","3397","2601","","0","796","","0"
