cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,intinc,eintexp,nim,elnatr,nonii,ifiduc,iserchg,igltrad,idothnii,nonix,esal,epremagg,IDEOTH,idpretx,iglsec,itax,ibefxtr,extra,netinc,NETIMIN,NETINBM,ntlnls,eqcdiv,eqcstkrx,noij
"340","0","870539","1133174","The Peoples Bank, Biloxi, Mississippi","Biloxi","MS","39533","9/30/2018","11/14/2018","NM","Lameuse And Howard Avenues","PEOPLES FINANCIAL CORPORATION","19","0","0","4","0","Harrison","25060","Gulfport-Biloxi-Pascagoula, MS","4/13/1896","1/1/1934","3/31/2006","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Jackson Ms","Atlanta","Southern","West","0","1","thepeoples.com","14587","1828","12759","91","4347","1360","1447","","1540","16200","8172","2895","5133","815","28","0","843","0","843","0","843","853","51","0","815"
"15046","9680","420644","2516998","The Peoples Community Bank","Mazomanie","WI","53560","9/30/2018","11/14/2018","NM","222 West Commercial Street","PEOPLES COMMUNITY BANCSHARES, INC., THE","6","0","0","2","0","Dane","31540","Madison, WI","11/28/1891","3/8/1935","12/31/2014","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Madison","Chicago","Central","Central","0","1","http://www.thepeoplescommunitybank.com","8344","1197","7147","0","1825","8","225","","1592","5930","3326","646","1958","3042","0","804","2238","0","2238","0","2238","221","0","0","2238"
"4059","52099","942454","1066852","The Peoples National Bank of Checotah","Checotah","OK","74426","9/30/2018","11/14/2018","N","Broadway And Gentry","PEOPLES NATIONAL BANCSHARES OF CHECOTAH, INC.","3","0","0","7","1","Mcintosh","","","1/1/1911","1/1/1934","1/14/2016","Stock","0","0","OCC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","http://www.peoplesok.com/","3372","325","3047","10","1040","0","658","","382","2689","1467","322","900","1388","0","0","1388","0","1388","0","1388","41","750","0","1388"
"6649","0","484927","2293909","The Peoples National Bank of Mount Pleasant","Mount Pleasant","OH","43939","9/30/2018","11/14/2018","N","298 Union Street","PEOPLES BANCORP OF MT. PLEASANT, INC.","3","0","0","6","0","Jefferson","48260","Weirton-Steubenville, WV-OH","3/12/1903","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","http://www.peoplesnbmp.com","2201","193","2008","94","72","0","53","0","19","1469","922","209","338","517","0","131","386","0","386","0","386","49","66","0","386"
"6659","13552","431323","2438399","The Peoples National Bank of New Lexington","New Lexington","OH","43764","9/30/2018","11/14/2018","N","110 North Main Street","PEOPLES NATIONAL BANCSHARES, INC.","5","0","0","6","0","Perry","18140","Columbus, OH","2/15/1932","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.peoplesnational.com","4074","257","3817","99","502","0","116","","386","3350","1703","351","1296","870","0","105","765","0","765","0","765","64","136","0","765"
"30889","6068","943273","0","The Peoples Savings and Loan Company","West Liberty","OH","43357","9/30/2018","11/14/2018","SA","110 North Detroit Street","","2","0","0","5","0","Logan","","","1/1/1890","12/26/1956","7/21/2011","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.peoplessavingsonline.com","1516","158","1358","0","83","0","53","","30","1181","671","132","378","260","0","58","202","0","202","0","202","8","0","0","202"
"9439","0","287922","3213892","The Peoples Savings Bank","New Matamoras","OH","45767","9/30/2018","11/14/2018","NM","710 Second Street","PSB HOLDINGS, INC.","3","0","0","7","0","Washington","","","7/11/1911","1/1/1934","4/15/2014","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","http://www.psb1911.com","1649","58","1591","14","157","0","36","","121","1261","674","146","441","473","0","64","409","0","409","0","409","40","500","0","409"
"29975","4468","819172","0","The Peoples Savings Bank","Urbana","OH","43078","9/30/2018","11/14/2018","SA","10 Monument Square","","2","0","0","5","0","Champaign","","","1/1/1892","5/16/1938","1/29/2018","Non-Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.thepeoplessavingsbank.com","4238","724","3514","90","234","0","171","","63","3161","1782","331","1048","497","0","102","395","0","395","0","395","50","0","0","395"
"16744","0","741358","1059519","The Peoples State Bank","Cherryvale","KS","67335","9/30/2018","11/14/2018","NM","200 West Main Street","FIRST HOWARD BANKSHARES, INC.","1","0","0","2","1","Montgomery","","","1/1/1880","11/4/1948","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Wichita","Kansas City","Western","Western","0","1","","786","60","726","67","133","0","56","","77","481","235","54","192","311","0","4","307","0","307","0","307","11","200","0","307"
"14113","12247","454546","1206676","The Peoples State Bank","Ellettsville","IN","47429","9/30/2018","11/14/2018","NM","601 East Temperance Street","ELLETTSVILLE BANCSHARES, INC.","11","0","0","4","1","Monroe","14020","Bloomington, IN","1/1/1904","3/26/1934","3/31/2006","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","www.psbanywhere.com","7570","1124","6446","0","1859","1","288","","1570","6191","3719","606","1866","2114","-2","0","2112","0","2112","0","2112","-7","1160","0","2114"
