cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,nclnlsr,ncrer,ncreconr,ncrenrer,ncremulr,ncreresr,ncrelocr,ncrereor,idnccir,idncconr,idnccrdr,idnccoor,idncator,idnccotr,nccomrer,idncgtpr
"5197","0","923855","1123951","COMMUNITY FIRST BANK","Menahga","MN","56464","9/30/2018","11/14/2018","NM","21 Main St Ne","MENAHGA BANCSHARES, INC.","2","0","0","8","1","Wadena","","","9/1/1898","1/1/1934","8/1/2017","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","www.communityfirstbankmn.com","0.54685655834448","0.480986021343755","0","0","0","0","0","0","0.373182344614593","5.33760341606619E-02","","5.33760341606619E-02","0","0.161420500403551","","0"
"12512","11834","62147","1210422","Community First Bank","Rosholt","WI","54473","9/30/2018","11/14/2018","NM","275 West Grand Avenue","ROSHOLT BANCORPORATION, INC.","3","0","0","4","1","Portage","","","1/1/1904","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Appleton","Chicago","Central","Central","0","1","www.cfbwi.com","1.8040568101754","2.01888162672476","0","5.8993752055245","0","0.39466168146648","0.151331719128329","0.521780377895486","0","0","0","0","0","0","","0"
"7953","12690","188926","2376950","Community First Bank","Reynoldsville","PA","15851","9/30/2018","11/14/2018","NM","444 Main Street","COMMUNITY FIRST BANCORP, INC.","4","0","0","4","0","Jefferson","","","4/20/1893","1/1/1934","9/30/2018","Stock","0","1","FDIC","DIF","New York","NEW YORK","Wexford","Cleveland","Northeastern","Northeast","0","1","http://www.cf-bank.com","3.48888731345929","2.93892360411207","10.0866021395823","6.1247723132969","0","0.590135420549137","0","0.622257155957294","4.75856260527793","0","0","0","0","0","","0"
"10595","0","756848","2587411","Community First Bank","Butler","MO","64730","9/30/2018","11/14/2018","NM","915 West Fort Scott Street","COMMUNITY FIRST BANCSHARES, INC.","3","0","0","2","1","Bates","28140","Kansas City, MO-KS","1/1/1932","1/1/1934","5/31/2018","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","http://www.communityfirstbank.net","1.20563237702901","0.501111111111111","0","0.396775412520469","0","0.959517007169425","3.4106412005457","0.805088387817666","5.48291008229414","0.648273782602141","","0.648273782602141","0.126582278481013","1.95456946645536","","0"
"15907","0","36456","1472118","Community First Bank","Maywood","NE","69038","9/30/2018","11/14/2018","NM","122 South Commercial Street","UNIBANC CORP.","5","0","0","2","0","Frontier","","","7/2/1938","8/25/1942","8/22/2015","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","West","0","1","www.cfbne.com","2.40995988734318","1.58057641566876","0","0","0","0.117708605806958","","0.117708605806958","2.92419444961818","0.952003173343911","","0.952003173343911","1.34983127109111","0","","33.510402833112"
"34627","15408","2642598","3294556","Community First Bank","Kennewick","WA","99336","9/30/2018","11/14/2018","NM","6401 West Clearwater Avenue","COMMUNITY FIRST BANCORPORATION, INC.","5","0","0","4","1","Benton","28420","Kennewick-Richland, WA","12/30/1997","12/30/1997","8/4/2015","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","West","0","1","www.community1st.com","0.201384719203813","0.229003924046019","0","0.367457138122947","0","0","0","0","0","7.89265982636148E-02","","7.89265982636148E-02","0","0.122249388753056","","0"
"57511","0","3165357","3921816","Community First Bank of Indiana","Kokomo","IN","46901","9/30/2018","11/14/2018","NM","201 West Sycamore Street","COMMUNITY FIRST FINANCIAL CORPORATION","4","0","0","4","0","Howard","29020","Kokomo, IN","2/3/2003","2/3/2003","9/2/2009","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","http://www.cfbindiana.com","0.184893450432519","0.230715807564183","0","7.33803899643581E-02","0","0.611501431173562","0.322416426268454","0.96149895221268","0","0","","0","0","0","","0"
"3846","0","273840","3575264","COMMUNITY FIRST BANK OF THE HEARTLAND","Mount Vernon","IL","62864","9/30/2018","11/14/2018","SM","117 North 10th Street","CEDAR BANCORP, INC.","5","0","0","4","1","Jefferson","","","11/5/1906","1/1/1934","11/5/2011","Stock","0","0","FED","DIF","Chicago","CHICAGO","Mount Vernon","St. louis","Central","Central","0","1","www.commfirstbank.net","1.29863489953474","1.65222057795196","0","3.14056171568953","0","0.544704692241849","0","0.62986457911549","0","0","","0","0","0","","0"
"32838","0","1440117","2593083","Community First Bank, Inc.","Walhalla","SC","29691","9/30/2018","11/14/2018","NM","3685 Blue Ridge Boulevard","COMMUNITY FIRST BANCORPORATION","8","0","0","4","0","Oconee","","","3/12/1990","3/12/1990","11/18/2015","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","https://www.c1stbank.com","0.29747489716694","0.411314040117639","0.439903505037605","2.63602370468724E-02","0","1.0076376009463","5.74103515279986E-02","1.47710165164838","0","5.67749261280791E-02","0","5.76195277817791E-02","0.20375491194877","4.31704368848213E-02","0","0"
"6584","12996","579319","2293093","Community First Bank, National Association","Forest","OH","45843","9/30/2018","11/14/2018","N","118 East Lima Street","COMMUNITY FIRST BANCSHARES, INC.","3","0","0","2","0","Hardin","","","10/4/1904","1/1/1934","3/31/2006","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Columbus","Cleveland","Central","Central","0","1","www.com1stbank.com","6.47428782833888E-02","7.94701986754967E-02","","0","","0.122620576900619","0","0.130127649027141","0","0","0","0","0","0","","0"
