cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,webaddr,numemp,asset,chbal,chbali,sc,frepo,lnlsnet,lnatres,trade,bkprem,ore,intan,idoa,liabeq,liab,dep,depi,depdom,iddepinr,frepp,tradel,idobrmtg,subnd,idoliab,eqtot,eq,eqpp,eqcs,eqsur,equptot,eqconsub,nclnls,NCGTYPAR,oaienc,ernast,asstlt,asset5,asset2,RWAJT,AVASSETJ,OALIFINS,OALIFGEN,OALIFSEP,Oalifhyb,voliab,lnexamt,othbfhlb,lnlssale,ucln,RBCT1J,RBCT2,uc,obsdir
"22543","14261","170640","3070152","1st State Bank of Mason City","Mason City","IL","62664","9/30/2018","11/14/2018","NM","123 West Elm Street","FIRSTATE BANCORP, INC.","1","0","0","7","1","Mason","","","11/1/1977","11/1/1977","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","www.1ststatebankmc.com","5","26397","2480","1746","10778","2585","10214","140","0","95","17","0","228","26397","22925","22913","18160","22913","97.2909305064782","0","0","0","0","12","3472","3472","0","309","391","2772","0","261","0","142","25323","11405","27192","27011.5","12100","26523","0","0","0","0","265","18","0","0","365","3872","140","365","0"
"8426","10595","526519","1830240","1st Summit Bank","Johnstown","PA","15904","9/30/2018","11/14/2018","NM","125 Donald Lane","1ST SUMMIT BANCORP OF JOHNSTOWN, INC.","16","0","0","5","0","Cambria","27780","Johnstown, PA","1/1/1924","1/1/1934","1/5/2016","Stock","0","1","FDIC","DIF","New York","NEW YORK","Wexford","Philadelphia","Northeastern","Northeast","0","1","http://www.1stsummit.com","181","1048110","14616","6725","477721","0","519668","5800","0","8764","391","339","26611","1048110","957167","935377","869793","935377","72.4297568662957","0","0","14500","2000","5290","90943","90943","0","771","9363","80809","0","2317","0","3622","1004114","725856","1034215.5","1039571.5","574670","1047104","13289","9067","18","4204","69274","29621","14500","0","101041","100365","7800","101041","0"
"57869","0","3309393","0","1st Trust Bank, Inc.","Hazard","KY","41701","9/30/2018","11/14/2018","NM","24 Commerce Drive","","4","0","0","4","0","Perry","","","12/13/2004","12/13/2004","10/15/2018","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","https://www.1tbi.com","50","248096","25208","13485","10968","498","200949","1711","0","8584","461","0","1428","248096","226731","210492","174016","210492","67.7607176949416","5400","0","10137","0","702","21365","21365","0","9231","6000","6134","0","1723","0","531","225900","70674","246747.25","250063","190216","241404","0","0","0","0","69654","11700","10137","156","15548","21427","1711","15548","0"
"31249","6607","350572","4498726","1st United Bank","Faribault","MN","55021","9/30/2018","11/14/2018","NM","430 4th St Nw","J & B FINANCIAL HOLDINGS, INC.","2","0","0","4","1","Rice","","","1/1/1920","12/18/1961","2/13/2012","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","WWW.1stunited.com","28","145436","8061","6869","56455","0","72055","524","0","2645","0","4970","1250","145436","128149","125732","102352","125732","91.7498648691616","0","0","1550","0","867","17287","17287","0","77","17303","-93","0","373","0","490","135379","28597","146636.75","145303.5","88184","141223","0","0","0","0","2862","662","1550","129","22250","14423","524","22250","992"
"9751","0","340256","3304343","21st Century Bank","Loretto","MN","55357","9/30/2018","11/14/2018","NM","699 North Medina Street","DOLPHIN FAMILY LIMITED PARTNERSHIP","8","0","0","4","0","Hennepin","33460","Minneapolis-St. Paul-Bloomington, MN-WI","6/2/1917","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","http://www.21stcenturybank.com","62","448642","8895","7390","53860","0","360114","1952","0","8380","12159","0","5234","448642","393535","391179","306894","391179","77.305303026436","1100","0","0","0","1256","55107","55107","0","341","35659","19107","0","2749","2245","1280","421364","77496","445835.5","451948","335368","455851","1035","1035","0","0","5078","1343","0","0","32108","56427","1952","32108","0"
"91005","0","455253","4754758","5Star Bank","Colorado Springs","CO","80914","9/30/2018","11/14/2018","NM","Peterson Air Force Base, 455","LITTLE LONDON BANCORP","5","0","0","4","0","El Paso","17820","Colorado Springs, CO","6/10/1980","11/5/1985","8/23/2013","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","http://www.5star.bank","38","216239","7342","48","21348","17600","165051","2084","0","2190","0","1071","1637","216239","179357","178752","129540","178752","75.0453040404492","0","0","0","0","605","36882","36882","0","385","30965","5532","0","14","0","550","204047","33572","206285.75","216504","173672","217903","0","0","0","0","9471","2873","0","0","24900","36183","2084","24900","0"
"27831","358","671370","0","A J Smith Federal Savings Bank","Midlothian","IL","60445","9/30/2018","11/14/2018","SA","14757 S Cicero Ave","","3","0","0","5","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","1/1/1924","12/3/1934","7/21/2011","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","www.ajsmithbank.com","36","182855","22870","19616","51662","0","96075","720","0","2927","208","2","9111","182855","156013","153492","127739","153492","91.6826190569207","0","0","971","0","1550","26842","26842","0","6","15573","11263","0","1106","0","421","167353","103178","190200","187136","84312","187460","6381","6381","0","0","4054","961","0","0","4807","26178","720","4807","0"
"35029","0","2775151","2775142","AB&T","Albany","GA","31708","9/30/2018","11/14/2018","NM","2815 Meredyth Drive","COMMUNITY CAPITAL BANCSHARES, INC.","4","0","0","4","0","Dougherty","10500","Albany, GA","4/28/1999","4/28/1999","12/31/2016","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","www.abtgold.com","37","174774","19452","10407","1907","0","146371","1903","0","2538","0","0","4506","174774","156969","139629","99278","139629","72.2169308001346","0","0","16884","0","456","17805","17805","0","3750","23712","-9657","0","36","0","503","158685","25999","177605.75","176538.5","145864","173866","0","0","0","0","23069","15436","2500","305","37126","14975","1824","37126","0"
"32257","8059","762773","0","Abacus Federal Savings Bank","New York","NY","10013","9/30/2018","11/14/2018","SA","6 Bowery","","6","0","1","4","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","11/29/1984","11/29/1984","2/23/2012","Stock","0","0","OCC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","www.abacusbank.com","96","336560","39422","36672","3000","0","281141","2881","0","4293","0","2695","6009","336560","292073","290511","215339","290511","91.4883219942943","0","0","0","0","1562","44487","44487","0","2000","0","42487","0","377","0","1078","320813","119368","322616.25","328268.5","187312","319562","0","0","0","0","6545","0","0","405","6666","39212","2413","6666","0"
"30332","5179","114774","0","Abbeville Building & Loan (A State-Chartered Savings Bank)","Abbeville","LA","70510","9/30/2018","11/14/2018","SB","1212 Charity Street","","1","0","0","4","0","Vermilion","29180","Lafayette, LA","1/1/1890","8/9/1948","3/31/2006","Non-Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","www.abbemae.com","21","54988","4870","4546","3241","0","39821","513","0","1548","23","4551","934","54988","39091","38058","35969","38058","91.173921038115","0","0","0","0","1033","15897","15897","0","0","0","15897","0","327","0","197","47608","22480","60102.25","56687","35606","56259","0","0","0","0","1777","25","0","258","15339","14293","465","15339","5537"
