cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,dep,depdom,idtrni,idtrngov,idtrnmu,idtrcomb,idtrnfc,idtrnfg,depfor,trn,ddt,ntr,ntrsmmda,ntrsoth,ntrtime,ts,depnidom,depidom,coredep,depins,irakeogh,bro,broins,DEPLSNB,depnifor,depifor
"4829","0","746223","2706726","1880 Bank","Cambridge","MD","21613","9/30/2018","11/14/2018","SM","304 High Street","DELMARVA BANCSHARES, INC.","6","0","0","4","0","Dorchester","","","1/1/1880","1/1/1934","7/16/2015","Stock","0","1","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","www.1880bank.com","297481","297481","255432","0","42049","0","0","0","","129099","87225","168382","34609","54818","78955","210256","86974","210507","277561","224287","13642","0","0","0","",""
"57899","0","3317192","4526496","1st Advantage Bank","Saint Peters","MO","63376","9/30/2018","11/14/2018","NM","240 Salt Lick Road","BANC INVESTORS, LLC","1","0","0","4","0","Saint Charles","41180","St. Louis, MO-IL","1/31/2005","1/31/2005","9/10/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","St. Louis","St. louis","Western","West","0","1","www.1stadvantagebank.com","83670","83670","79901","0","58","3711","0","0","","21298","18252","62372","17997","1807","42568","65418","18252","65418","73151","67842","2251","1006","1006","3711","",""
"22039","0","564856","1128415","1st Bank","Broadus","MT","59317","9/30/2018","11/14/2018","SM","201 North Wilbur Ave","1ST UNITED BANCORPORATION, INC.","1","0","0","2","1","Powder River","","","6/9/1975","6/9/1975","2/23/2018","Stock","0","0","FED","DIF","San Francisco","SAN FRANCISCO","Billings","Minneapolis","Western","West","0","1","www.our1stbank.com","40214","40214","38925","5","1284","0","0","0","","18628","8492","21586","8222","6529","6835","31722","11071","29143","39914","36095","692","0","0","0","",""
"16419","17301","419255","1055780","1st Bank & Trust","Broken Bow","OK","74728","9/30/2018","11/14/2018","SM","710 South Park Drive","SOUTHEASTERN BANCSHARES, INC.","4","0","0","8","1","Mccurtain","","","5/6/1946","5/6/1946","3/31/2006","Stock","0","1","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","http://www/1stbankandtrust.com","136935","136935","127863","0","9072","0","0","0","","74980","49020","61955","7080","24608","30266","87915","49021","87914","134370","113627","5607","0","0","0","",""
"4122","0","350657","0","1st Bank in Hominy","Hominy","OK","74035","9/30/2018","11/14/2018","SM","117 North Price","","1","0","0","8","1","Osage","46140","Tulsa, OK","4/12/1906","1/1/1934","12/22/2016","Stock","0","0","FED","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","http://www.1stbankhominy.com","35653","35653","29561","0","6092","0","0","0","","12812","7151","22841","2750","4852","15239","28502","7152","28501","33561","32426","2345","0","0","0","",""
"30367","5236","148470","0","1st Bank of Sea Isle City","Sea Isle City","NJ","8243","9/30/2018","11/14/2018","SB","4301 Landis Avenue","","3","0","0","5","0","Cape May","36140","Ocean City, NJ","1/1/1882","11/30/1948","9/19/2014","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.1stbankseaisle.com","228133","228133","186124","0","41993","17","0","0","","89557","42991","138577","839","96647","41091","185143","40921","187212","209177","158422","7547","0","0","0","",""
"57298","0","3048487","3559844","1st Bank Yuma","Yuma","AZ","85364","9/30/2018","11/14/2018","NM","2799 South 4th Avenue","WESTERN ARIZONA BANCORP, INC.","5","0","0","4","0","Yuma","49740","Yuma, AZ","9/4/2001","9/4/2001","3/2/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Phoenix","San Francisco","Western","Western","0","1","http://www.1stbankyuma.com","278587","278587","271447","0","7140","0","0","0","","155255","155255","123332","46074","40415","36844","123332","113948","164639","263040","216198","2968","4499","4499","0","",""
"32487","8322","941653","1064791","1st Cameron State Bank","Cameron","MO","64429","9/30/2018","11/14/2018","NM","124 South Walnut","C & M BANCSHARES, INC.","2","0","0","8","0","Clinton","28140","Kansas City, MO-KS","8/11/1986","8/11/1986","6/29/2009","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","www.1stcameron.com","45938","45938","37353","6","8579","0","0","0","","15619","9627","30319","11456","9440","9423","36311","9628","36310","43663","36755","2657","0","0","0","",""
"58485","0","3594797","0","1st Capital Bank","Salinas","CA","93901","9/30/2018","11/14/2018","NM","150 Main St, # 150, Salinas,","","6","0","0","4","0","Monterey","41500","Salinas, CA","4/16/2007","4/16/2007","5/1/2017","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","San Francisco","San Francisco","Western","Western","0","1","www.1stcapital.bank","547888","547888","528138","0","19750","0","0","0","","283311","248036","264577","139037","109530","16011","299852","248036","299852","540697","277033","3025","0","0","0","",""
"35456","0","2920773","3118513","1st Colonial Community Bank","Collingswood","NJ","8108","9/30/2018","11/14/2018","NM","1040 Haddon Avenue","1ST COLONIAL BANCORP, INC.","3","0","0","4","0","Camden","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","6/29/2000","6/29/2000","11/1/2012","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","http://www.1stcolonial.com","493407","493407","288686","0","202292","2429","0","0","","58694","19801","434713","13780","270492","150441","473606","60587","432820","412448","245662","8741","26414","26414","0","",""
"11706","12404","338945","1204083","1st Community Bank","Sherrard","IL","61281","9/30/2018","11/14/2018","NM","407 Third Street","ILLINOIS HOLDING CO.","2","0","0","2","1","Mercer","19340","Davenport-Moline-Rock Island, IA-IL","1/1/1910","1/1/1934","10/15/2015","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","http://www.1stcommunitybanks.com","53860","53860","47305","0","6472","83","0","0","","12841","7933","41019","9237","8332","23450","45927","7933","45927","46820","44084","544","0","0","0","",""
"27552","10064","1412619","2784920","1st Constitution Bank","Cranbury","NJ","8512","9/30/2018","11/14/2018","NM","2650 Route 130","1ST CONSTITUTION BANCORP","20","0","0","4","0","Middlesex","35620","New York-Newark-Jersey City, NY-NJ-PA","7/24/1989","7/24/1989","4/11/2018","Stock","0","0","FDIC","DIF","New York","NEW YORK","Jamesburg","New York","Northeastern","Northeast","0","1","www.1stconstitution.com","942075","942075","793683","0","148392","0","0","0","","93962","56170","848113","62892","579334","205887","885905","211890","730185","910043","780797","21527","0","0","43937","",""
"34393","0","2531562","2531553","1st Equity Bank","Skokie","IL","60076","9/30/2018","11/14/2018","NM","3956 West Dempster Street","FIRST EQUITY CORP.","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","6/9/1997","6/9/1997","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","www.1stequitybank.net","75793","75793","63257","0","0","12535","0","0","","14910","8831","60882","15060","5922","39901","66961","8831","66962","70003","68895","2284","0","0","11115","",""
"57611","0","3203996","3203987","1st Equity Bank Northwest","Buffalo Grove","IL","60089","9/30/2018","11/14/2018","NM","1330 Dundee Road","NORTHWEST EQUITY CORP.","1","0","0","4","1","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","10/15/2003","10/15/2003","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","","33733","33733","26121","0","0","7612","0","0","","269","98","33464","3745","319","29400","33635","97","33636","29483","31091","2287","0","0","5706","",""
"31410","6903","535575","0","1st Federal Savings Bank of SC, Inc.","Walterboro","SC","29488","9/30/2018","11/14/2018","SB","300 Robertson Boulevard","","2","0","0","5","0","Colleton","","","1/1/1962","8/9/1963","4/30/2018","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","www.1stfederalofsc.com","77850","77850","77398","0","452","0","0","0","","32537","11937","45313","4550","17365","23398","65913","12015","65835","77260","72059","5930","0","0","0","",""
"1673","0","526452","0","1st Financial Bank USA","Dakota Dunes","SD","57049","9/30/2018","11/14/2018","NM","331 N. Dakota Dunes Blvd.","","2","0","0","3","0","Union","43580","Sioux City, IA-NE-SD","1/1/1910","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Western","West","0","0","http://www.1fbusa.com","463701","463701","446187","0","17514","0","0","0","0","15322","9367","448379","15402","1763","431213","454334","9367","454334","122509","450373","1116","334479","334479","70172","0","0"
"6646","8805","480723","0","1st National Bank","Lebanon","OH","45036","9/30/2018","11/14/2018","N","730 East Main Street","","10","0","0","4","1","Warren","17140","Cincinnati, OH-KY-IN","1/1/1907","1/1/1934","11/1/2012","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","0","1","WWW.BANKWITH1ST.COM","147669","147669","128785","161","18723","0","0","0","","58188","34938","89481","9617","24643","55221","112731","34945","112724","136098","118223","3718","4015","0","0","",""
"57633","0","1018927","4347208","1st Security Bank of Washington","Mountlake Terrac","WA","98043","9/30/2018","11/14/2018","SB","6920 220th St Sw, Suite 300","FS BANCORP, INC.","13","0","0","4","0","Snohomish","42660","Seattle-Tacoma-Bellevue, WA","4/1/2004","4/1/2004","1/23/2016","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Seattle","San Francisco","Western","West","0","1","WWW.FSBWA.com","957381","957381","948491","105","7836","949","0","0","","317840","202721","639541","240925","78785","319831","754660","202782","754599","791180","734059","19773","123638","123638","949","",""
"9087","10250","991340","1199602","1st Source Bank","South Bend","IN","46601","9/30/2018","11/14/2018","SM","100 North Michigan Street","1ST SOURCE CORPORATION","83","0","1","4","0","St Joseph","43780","South Bend-Mishawaka, IN-MI","1/1/1922","1/1/1934","1/1/2012","Stock","0","1","FED","DIF","Chicago","CHICAGO","Indianapolis","Chicago","Central","Central","0","1","www.1stsource.com","5062479","5062479","4259361","13","777533","25572","0","0","","299372","299372","4763107","2867199","425734","1470174","4763107","1151576","3910903","4361603","2941370","172458","402720","402720","16770","",""
"57626","0","3223305","3223293","1st State Bank","Saginaw","MI","48604","9/30/2018","11/14/2018","NM","4800 Fashion Sq Blvd, # 100","1ST STATE FINANCIAL, LTD.","4","0","0","4","0","Saginaw","40980","Saginaw, MI","4/12/2004","4/12/2004","8/19/2013","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Detroit","Chicago","Central","Central","0","1","www.1ststatebk.com","228912","228912","203204","0","25459","249","0","0","","123337","103071","105575","78790","6835","19949","125841","97521","131391","221588","132684","1565","0","0","249","",""
"22543","14261","170640","3070152","1st State Bank of Mason City","Mason City","IL","62664","9/30/2018","11/14/2018","NM","123 West Elm Street","FIRSTATE BANCORP, INC.","1","0","0","7","1","Mason","","","11/1/1977","11/1/1977","3/31/2006","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Springfield Il","Chicago","Central","Central","0","1","www.1ststatebankmc.com","22913","22913","21654","3","1256","0","0","0","","7008","4718","15905","1790","5136","8979","18195","4753","18160","22648","22302","1143","0","0","0","",""
"8426","10595","526519","1830240","1st Summit Bank","Johnstown","PA","15904","9/30/2018","11/14/2018","NM","125 Donald Lane","1ST SUMMIT BANCORP OF JOHNSTOWN, INC.","16","0","0","5","0","Cambria","27780","Johnstown, PA","1/1/1924","1/1/1934","1/5/2016","Stock","0","1","FDIC","DIF","New York","NEW YORK","Wexford","Philadelphia","Northeastern","Northeast","0","1","http://www.1stsummit.com","935377","935377","796753","66","135529","3029","0","0","","109366","29827","826011","287854","136996","401161","905550","65584","869793","877103","678380","107358","0","0","0","",""
"57869","0","3309393","0","1st Trust Bank, Inc.","Hazard","KY","41701","9/30/2018","11/14/2018","NM","24 Commerce Drive","","4","0","0","4","0","Perry","","","12/13/2004","12/13/2004","10/15/2018","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","Cleveland","Central","Southeast","0","1","https://www.1tbi.com","210492","210492","193732","0","11305","5455","0","0","","64714","56358","145778","4600","12569","128610","154134","36476","174016","143369","142679","5125","12869","12869","4955","",""
"31249","6607","350572","4498726","1st United Bank","Faribault","MN","55021","9/30/2018","11/14/2018","NM","430 4th St Nw","J & B FINANCIAL HOLDINGS, INC.","2","0","0","4","1","Rice","","","1/1/1920","12/18/1961","2/13/2012","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","WWW.1stunited.com","125732","125732","123063","0","2669","0","0","0","","61206","23380","64526","0","52793","11732","102352","23380","102352","124420","115425","5291","0","0","0","",""
"9751","0","340256","3304343","21st Century Bank","Loretto","MN","55357","9/30/2018","11/14/2018","NM","699 North Medina Street","DOLPHIN FAMILY LIMITED PARTNERSHIP","8","0","0","4","0","Hennepin","33460","Minneapolis-St. Paul-Bloomington, MN-WI","6/2/1917","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Minneapolis","Minneapolis","Central","West","0","1","http://www.21stcenturybank.com","391179","391179","382180","0","8999","0","0","0","","16682","16172","374497","82745","135996","155756","375007","84285","306894","279196","302893","9978","108005","108005","0","",""
"91005","0","455253","4754758","5Star Bank","Colorado Springs","CO","80914","9/30/2018","11/14/2018","NM","Peterson Air Force Base, 455","LITTLE LONDON BANCORP","5","0","0","4","0","El Paso","17820","Colorado Springs, CO","6/10/1980","11/5/1985","8/23/2013","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Denver","Kansas City","Western","Western","0","1","http://www.5star.bank","178752","178752","164897","0","7611","6244","0","0","","67422","48388","111330","65277","4947","41106","130364","49212","129540","154277","134175","4367","15004","15004","0","",""
"27831","358","671370","0","A J Smith Federal Savings Bank","Midlothian","IL","60445","9/30/2018","11/14/2018","SA","14757 S Cicero Ave","","3","0","0","5","0","Cook","16980","Chicago-Naperville-Elgin, IL-IN-WI","1/1/1924","12/3/1934","7/21/2011","Stock","0","0","OCC","DIF","Chicago","CHICAGO","Chicago","Chicago","Central","Central","0","1","www.ajsmithbank.com","153492","153492","147479","0","6013","0","0","0","","35642","24728","117850","6289","70800","40761","128764","25753","127739","149438","140808","14872","0","0","0","",""
"35029","0","2775151","2775142","AB&T","Albany","GA","31708","9/30/2018","11/14/2018","NM","2815 Meredyth Drive","COMMUNITY CAPITAL BANCSHARES, INC.","4","0","0","4","0","Dougherty","10500","Albany, GA","4/28/1999","4/28/1999","12/31/2016","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Albany Ga","Atlanta","Southern","Southeast","0","1","www.abtgold.com","139629","139629","126447","0","13182","0","0","0","","84619","64809","55010","28365","7216","19429","74820","40351","99278","133444","100843","3627","0","0","0","",""
"32257","8059","762773","0","Abacus Federal Savings Bank","New York","NY","10013","9/30/2018","11/14/2018","SA","6 Bowery","","6","0","1","4","0","New York","35620","New York-Newark-Jersey City, NY-NJ-PA","11/29/1984","11/29/1984","2/23/2012","Stock","0","0","OCC","DIF","New York","NEW YORK","New York City","New York","Northeastern","Northeast","0","1","www.abacusbank.com","290511","290511","290511","0","0","0","0","0","","76123","73520","214388","10309","68479","135599","216991","75172","215339","218933","265855","2600","65033","65033","14018","",""
"30332","5179","114774","0","Abbeville Building & Loan (A State-Chartered Savings Bank)","Abbeville","LA","70510","9/30/2018","11/14/2018","SB","1212 Charity Street","","1","0","0","4","0","Vermilion","29180","Lafayette, LA","1/1/1890","8/9/1948","3/31/2006","Non-Stock","0","0","FDIC","DIF","Dallas","DALLAS","Baton Rouge","Atlanta","Southern","Western","0","1","www.abbemae.com","38058","38058","36788","0","1270","0","0","0","","6354","2089","31704","18229","2405","11069","35969","2089","35969","36281","34709","2209","0","0","0","",""
"30619","5642","416272","0","Abbeville First Bank, SSB","Abbeville","SC","29620","9/30/2018","11/14/2018","SB","205 South Main St","","2","0","0","5","0","Abbeville","","","1/1/1907","5/11/1953","10/17/2013","Non-Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Columbia Sc","Richmond","Northeastern","Southeast","0","1","http://www.abbevillefirst.com","56684","56684","54122","0","2562","0","0","0","","14666","5465","42018","944","13086","27988","51219","1378","55306","54105","54499","8137","0","0","0","",""
"19795","16035","198149","3612794","AbbyBank","Abbotsford","WI","54405","9/30/2018","11/14/2018","NM","401 East Spruce Street","ABBY BANCORP, INC.","6","0","0","2","0","Marathon","48140","Wausau, WI","3/1/1968","3/1/1968","1/1/2018","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Eau Claire","Chicago","Central","Central","0","1","www.abbybank.com","424113","424113","378846","0","34538","10729","0","0","","95052","94922","329061","30440","124674","173947","329191","60394","363719","362672","380580","38858","30117","28992","10135","",""
"26549","0","117672","0","Abington Bank","Abington","MA","2351","9/30/2018","11/14/2018","SM","6 Harrison Avenue","","3","0","0","4","0","Plymouth","14460","Boston-Cambridge-Newton, MA-NH","1/1/1888","2/12/1986","10/1/2017","Non-Stock","0","0","FED","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","0","1","www.theabingtonbank.com","263224","263224","251833","1","11390","0","0","0","","79758","43364","183466","40654","69723","73089","219860","43364","219860","247008","221888","16283","0","0","0","",""
"19600","0","535753","2107707","Academy Bank, National Association","Kansas City","MO","64154","9/30/2018","11/14/2018","N","8551 N Boardwalk Avenue","DICKINSON FINANCIAL CORPORATION II","74","0","1","4","0","Platte","28140","Kansas City, MO-KS","6/15/1966","6/15/1966","5/1/2017","Stock","0","0","OCC","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","0","www.academybank.com","1013231","1013231","991883","2","6708","14638","0","0","","309747","309747","703484","173894","56356","473235","703484","239662","773569","935720","825208","31057","40000","40000","9817","",""
"4061","13760","266253","1055708","ACB Bank","Cherokee","OK","73728","9/30/2018","11/14/2018","NM","323 S Grand Street","ALFALFA COUNTY BANCSHARES, INC.","3","0","0","2","1","Alfalfa","","","1/29/1908","1/1/1934","5/13/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","www.acbbank.net","101238","101238","57236","0","12956","31046","0","0","","41189","18706","60049","2480","9703","47867","82532","18706","82532","93921","83208","802","1857","1857","29958","",""
"58727","0","3614837","3637939","Access Bank","Omaha","NE","68114","9/30/2018","11/14/2018","NM","8712 West Dodge Road","3MV BANCORP, INC.","7","0","0","4","0","Douglas","36540","Omaha-Council Bluffs, NE-IA","12/10/2007","12/10/2007","5/6/2017","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","West","0","1","WWW.ACCESSBANK.COM","449442","449442","435448","0","13496","498","0","0","","42615","42615","406827","88170","228257","90400","406827","154922","294520","405501","252622","8605","16881","0","2917","",""
"35189","0","2859903","3109904","Access National Bank","Reston","VA","20191","9/30/2018","11/14/2018","N","1800 Robert Fulton Drive, #","ACCESS NATIONAL CORPORATION","15","0","0","4","0","Fairfax","47900","Washington-Arlington-Alexandria, DC-VA-MD-WV","12/1/1999","12/1/1999","4/1/2017","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Richmond","Richmond","Northeastern","Southeast","0","1","www.AccessNationalBank.com","2319391","2319391","2091963","0","226931","497","0","0","","1264103","767388","1055288","555951","155311","344026","1552003","765170","1554221","2098081","1362201","15691","75324","75324","0","",""
"58562","0","3535848","4556381","AccessBank Texas","Denton","TX","76201","9/30/2018","11/14/2018","NM","320 W Eagle Drive, # 100","ACCESS BANCORP, INC.","5","0","0","4","0","Denton","19100","Dallas-Fort Worth-Arlington, TX","10/22/2007","10/22/2007","5/16/2016","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","http://WWW.ACCESSBANKTX.COM","336183","336183","321685","0","11627","2871","0","0","","136206","136206","199977","87855","4359","107763","199977","88693","247490","297237","225768","7364","2000","0","2871","",""
"7506","12499","5210","1117464","ACNB Bank","Gettysburg","PA","17325","9/30/2018","11/14/2018","NM","16 Lincoln Square","ACNB CORPORATION","29","0","1","4","0","Adams","23900","Gettysburg, PA","4/11/1857","1/1/1934","7/1/2017","Stock","0","1","FDIC","DIF","New York","NEW YORK","Harrisburg","Philadelphia","Northeastern","Northeast","0","1","http://www.acnb.com","1359533","1359533","1214813","3","144482","235","0","0","","115885","68047","1243648","166113","714996","362539","1291486","68047","1291486","1300969","1236904","61424","0","0","4332","",""
"18489","12279","463650","5006472","Adams Bank & Trust","Ogallala","NE","69153","9/30/2018","11/14/2018","SM","315 North Spruce Street","ADAGE, LLC","19","0","1","2","0","Keith","","","2/26/1962","2/26/1962","3/31/2006","Stock","0","1","FED","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","West","0","1","http://www.abtbank.com","649157","649157","546424","1","98264","4468","0","0","","126486","90841","522671","153295","178989","190387","558316","124076","525081","611701","541963","20467","3028","0","0","",""
"90140","12033","343903","0","Adams Community Bank","Adams","MA","1220","9/30/2018","11/14/2018","SB","2 Center Street","","8","0","0","5","0","Berkshire","38340","Pittsfield, MA","5/1/1869","7/24/1985","1/1/2016","Non-Stock","0","1","FDIC","DIF","New York","NEW YORK","Springfield Ma","Boston","Northeastern","Northeast","0","1","www.adamscommunity.com","453715","453715","389986","0","63730","0","0","0","","107908","50994","345808","103120","104809","137878","402722","48829","404886","409930","373269","32851","21447","21447","0","",""
"14311","0","9553","1053870","Adams County Bank","Kenesaw","NE","68956","9/30/2018","11/14/2018","NM","401 N. Smith Avenue","FIRST KENESAW COMPANY","2","0","0","2","1","Adams","","","1/1/1878","1/1/1934","6/1/2010","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","West","0","1","http://www.adamscountybank.net","102811","102811","80108","0","18243","4460","0","0","","42951","18656","59860","8771","17744","33345","84155","18656","84155","95379","84794","5973","3833","3374","2729","",""
"9812","0","332756","0","Adams State Bank","Adams","NE","68301","9/30/2018","11/14/2018","NM","649 Main Street","","1","0","0","2","1","Gage","","","1/18/1918","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Kansas City","Western","West","0","1","www.adamsstate.com","35624","35624","29766","0","5137","721","0","0","","15918","7885","19706","478","6922","12305","27739","7885","27739","33627","30942","2306","493","493","0","",""
"28380","1473","101671","2467474","Adirondack Bank","Utica","NY","13501","9/30/2018","11/14/2018","SM","185 Genesee Street","ADIRONDACK BANCORP, INC.","18","0","0","4","0","Oneida","46540","Utica-Rome, NY","1/1/1898","1/25/1936","1/1/2014","Stock","0","0","FED","DIF","New York","NEW YORK","Syracuse","New York","Northeastern","Northeast","0","1","www.adirondackbank.com","700663","700663","446263","0","254401","0","0","0","","66050","53811","634614","25707","462482","146424","646853","207409","493254","594761","448285","4968","17028","6883","0","",""
"27015","13964","541307","0","Admirals Bank","Boston","MA","2116","9/30/2018","11/14/2018","SA","579 Boylston Street","","2","0","1","4","0","Suffolk","14460","Boston-Cambridge-Newton, MA-NH","1/1/1967","7/20/1987","1/1/2018","Stock","0","0","OCC","DIF","New York","NEW YORK","South Boston","Boston","Northeastern","Northeast","0","1","www.admiralsbank.com","145880","145880","109110","0","7063","29707","0","0","","7403","428","138477","70701","1982","65794","145452","425","145455","131547","115900","1612","0","0","28205","",""
"8251","0","94858","1399505","Adrian Bank","Adrian","MO","64720","9/30/2018","11/14/2018","SM","130 East Main Street","ADRIAN BANCSHARES, INC.","3","0","0","2","1","Bates","28140","Kansas City, MO-KS","10/18/1932","1/1/1934","1/1/2012","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Kansas City","Kansas City","Western","West","0","1","www.adrianbank.com","124030","124030","110281","0","13649","100","0","0","","48377","28082","75653","21459","17928","36266","95948","28082","95948","120391","111785","4952","0","0","2140","",""
"8822","0","293352","1125254","Adrian State Bank","Adrian","MN","56110","9/30/2018","11/14/2018","NM","322 Maine Avenue","ADRIAN BUILDING CORPORATION","1","0","0","2","1","Nobles","","","10/23/1889","1/1/1934","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux Falls","Minneapolis","Central","West","0","1","www.adrianstatebank.com","43106","43106","34179","0","8927","0","0","0","","11090","8548","32016","9869","5464","16683","34558","8548","34558","38933","34813","2081","3919","0","0","",""
"18152","15877","438050","1066928","Advantage Bank","Oklahoma City","OK","73141","9/30/2018","11/14/2018","NM","8001 Ne 23rd Street","SPENCER BANCSHARES, INC.","2","0","0","4","1","Oklahoma","36420","Oklahoma City, OK","11/17/1913","2/15/1960","4/26/2018","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","http://www.advantagebank.biz","49582","49582","44015","0","5567","0","0","0","","31906","11907","17676","13568","0","4107","37675","11907","37675","48824","42404","1091","0","0","0","",""
"57072","0","2927615","0","Advantage Bank","Loveland","CO","80538","9/30/2018","11/14/2018","NM","1475 North Denver Avenue","","4","0","0","4","0","Larimer","22660","Fort Collins, CO","9/21/2000","9/21/2000","6/14/2016","Stock","0","0","FDIC","DIF","Dallas","KANSAS CITY","Denver","Kansas City","Western","Western","0","1","http://www.advantagebanks.com","252031","252031","229436","0","1929","20666","0","0","","69399","52635","182632","41032","25488","116112","199396","52635","199396","238872","222957","11070","0","0","23602","",""
"10375","14584","189549","3155273","Advantage Community Bank","Dorchester","WI","54425","9/30/2018","11/14/2018","NM","101 W Business County Rd. A","ADVANTAGE COMMUNITY BANCSHARES, INC.","4","0","0","4","0","Clark","","","8/9/1906","1/1/1934","7/1/2016","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Eau Claire","Chicago","Central","Central","0","1","www.advantagecommunity.com","124726","124726","117921","0","6803","3","0","0","","39253","19858","85474","24850","33723","26902","104869","19863","104863","121986","110212","9510","1205","1205","0","",""
"34885","14544","965789","5189450","Affiliated Bank, National Association","Bedford","TX","76021","9/30/2018","11/14/2018","N","500 Harwood Rd.","SBH MANAGER, LLC","4","0","0","4","0","Tarrant","19100","Dallas-Fort Worth-Arlington, TX","1/1/1959","6/1/1998","2/28/2018","Stock","0","0","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","www.affiliatedbank.com","562018","562018","492472","0","23381","46165","0","0","","90656","83949","471362","152340","11881","307141","478069","81695","480323","477147","425764","17172","8366","8366","58178","",""
"57264","0","3118447","3118456","AFFINITY BANK","Atlanta","GA","30339","9/30/2018","11/14/2018","NM","400 Galleria Pkwy Se, # 900","ABB FINANCIAL GROUP, INC.","1","0","0","4","0","Cobb","12060","Atlanta-Sandy Springs-Roswell, GA","9/3/2002","9/3/2002","12/27/2017","Stock","0","0","FDIC","DIF","Atlanta","NEW YORK","Atlanta","Atlanta","Southern","Southeast","0","1","http://www.myaffinitybank.com","209344","209344","208374","0","0","970","0","0","","89541","79866","119803","61828","1322","56653","129478","79868","129476","204724","171162","0","0","0","45240","",""
"35267","14939","2909330","0","AIG Federal Savings Bank","Wilmington","DE","19809","9/30/2018","11/14/2018","SA","503 Carr Road, Suite 130","","1","0","0","5","0","New Castle","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","5/15/2000","5/15/2000","12/15/2014","Stock","0","1","OCC","DIF","New York","NEW YORK","Claymont","Philadelphia","Northeastern","Northeast","0","0","","500","500","500","0","0","0","0","0","","0","0","500","0","0","500","500","0","500","0","251","0","0","0","0","",""
