cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,dep,depdom,idtrni,idtrngov,idtrnmu,idtrcomb,idtrnfc,idtrnfg,depfor,trn,ddt,ntr,ntrsmmda,ntrsoth,ntrtime,ts,depnidom,depidom,coredep,depins,irakeogh,bro,broins,DEPLSNB,depnifor,depifor
"31121","6420","813572","3135190","Cecil Bank","Elkton","MD","21921","9/30/2018","11/14/2018","SM","127 North St","CECIL BANCORP, INC.","7","0","0","4","0","Cecil","37980","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","10/7/1959","10/7/1959","7/14/2008","Stock","0","0","FED","DIF","New York","NEW YORK","Baltimore","Richmond","Northeastern","Southeast","0","1","http://www.cecilbank.com","145280","145280","144200","0","1080","0","0","0","","42815","22822","102465","19521","21810","61134","122458","22822","122458","139282","139596","10340","501","501","0","",""
"34478","0","2651899","0","Cedar Hill National Bank","Charlotte","NC","28273","9/30/2018","11/14/2018","N","9401 Southern Pine Blvd, # P","","1","0","0","7","0","Mecklenburg","16740","Charlotte-Concord-Gastonia, NC-SC","2/2/1998","2/2/1998","6/13/2011","Stock","0","0","OCC","DIF","Atlanta","ATLANTA","Charlotte","Richmond","Northeastern","Southeast","0","0","","2000","2000","2000","0","0","0","0","0","","0","0","2000","0","2000","0","2000","0","2000","2000","250","0","0","0","0","",""
"57244","0","3029589","2125813","Cedar Rapids Bank and Trust Company","Cedar Rapids","IA","52401","9/30/2018","11/14/2018","SM","500 1st Ave. Ne, Suite 100","QCR HOLDINGS, INC.","8","0","0","4","0","Linn","16300","Cedar Rapids, IA","9/14/2001","9/14/2001","12/2/2017","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","www.CRBT.bank","1085998","1085998","856046","6","76533","153413","0","0","","215590","68658","870408","270970","293810","305628","1017340","202985","883013","863249","605051","6647","152307","152307","1491","",""
"18820","53546","1005851","1065202","Cedar Rapids State Bank","Cedar Rapids","NE","68627","9/30/2018","11/14/2018","NM","213 W Main St","CEDAR RAPIDS STATE COMPANY","3","0","0","2","1","Boone","","","5/25/1936","6/26/1963","7/1/2016","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Grand Island","Kansas City","Western","West","0","1","http://www.cedarrapidsstatebank.com","43878","43878","38136","0","2611","3131","0","0","","9286","4137","34592","6149","4513","23930","39741","4137","39741","39425","38867","2388","3131","3131","6551","",""
"25591","13036","550653","1398861","Cedar Security Bank","Fordyce","NE","68736","9/30/2018","11/14/2018","NM","117 Main Street","CEDAR FINANCIAL HOLDING, INC.","3","0","0","2","0","Cedar","","","9/4/1984","9/4/1984","3/31/2006","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Sioux City","Kansas City","Western","West","0","1","https://onlinebanking.cedarsecurity.com/","39597","39597","32022","0","3449","4126","0","0","","14829","6456","24768","4548","6287","13933","33141","6819","32778","38821","36966","1862","235","235","4126","",""
"14694","14694","1014246","1363962","Cedar Valley Bank & Trust","La Porte City","IA","50651","9/30/2018","11/14/2018","NM","321 Main Street","D & D BANCSHARES, INC.","2","0","0","2","1","Black Hawk","47940","Waterloo-Cedar Falls, IA","7/6/1906","8/22/1934","3/31/2006","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Cedar Rapids","Chicago","Western","Western","0","1","www.cedarvalleybank.com","56501","56501","34429","102","21970","0","0","0","","20852","15944","35649","22660","4058","8930","40557","15926","40575","54084","33268","2112","0","0","0","",""
"57684","0","3262788","4463126","CedarStone Bank","Lebanon","TN","37087","9/30/2018","11/14/2018","NM","900 West Main Street","CEDARSTONE FINANCIAL, INC.","3","0","0","4","0","Wilson","34980","Nashville-Davidson-Murfreesboro-Franklin, TN","4/19/2004","4/19/2004","10/24/2014","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Nashville","Atlanta","Southern","Southeast","0","1","www.cedarstonebank.com","157995","157995","139909","0","6878","11207","0","0","","50535","36206","107459","45005","13736","48719","121788","36206","121789","140368","125958","2967","10322","0","7511","",""
"57056","0","2998576","0","Celtic Bank","Salt Lake City","UT","84111","9/30/2018","11/14/2018","NM","268 S. State St., Suite 300","","1","0","0","4","0","Salt Lake","41620","Salt Lake City, UT","3/1/2001","3/1/2001","2/20/2018","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Salt Lake City","San Francisco","Western","West","0","0","http://www.celticbank.com","578605","578605","542714","0","0","35891","0","0","","60629","0","517976","69307","0","448669","578605","47016","531589","131908","549162","0","429706","429706","0","",""
"8848","0","308256","1020920","CenBank","Buffalo Lake","MN","55314","9/30/2018","11/14/2018","NM","109 West Yellowstone Trail","CENTRAL TRUST COMPANY","3","0","0","2","1","Renville","","","1/1/1893","1/1/1934","1/31/2007","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Mankato","Minneapolis","Central","West","0","1","www.cenbank.com","62418","62418","45761","0","16657","0","0","0","","32000","11757","30418","7362","5672","17384","50661","11757","50661","60919","48300","2111","0","0","0","",""
"3098","0","89957","1104567","Cendera Bank, National Association","Bells","TX","75414","9/30/2018","11/14/2018","N","615 E. Bells Blvd","CENDERA FINANCIAL HOLDINGS, INC.","3","0","0","4","1","Grayson","43300","Sherman-Denison, TX","1/1/1904","1/1/1934","7/1/2013","Stock","0","0","OCC","DIF","Dallas","DALLAS","Dallas","Dallas","Southern","West","0","1","http://cenderabank.com","85780","85780","79583","9","5738","450","0","0","","24842","17627","60938","19608","5314","36016","68153","17627","68153","68245","66526","1815","14557","14557","0","",""
"30996","6230","934271","0","Cenlar FSB","Trenton","NJ","8618","9/30/2018","11/14/2018","SA","425 Phillips Boulevard","","1","0","0","5","1","Mercer","45940","Trenton, NJ","1/1/1912","6/13/1958","7/21/2011","Stock","0","0","OCC","DIF","New York","NEW YORK","Jamesburg","Philadelphia","Northeastern","Northeast","0","1","www.cenlar.com","892500","892500","273452","0","0","619048","0","0","","179433","179433","713067","0","713066","0","713067","892500","0","892500","860192","0","0","0","0","",""
"11241","0","456045","1491409","Centennial Bank","Conway","AR","72032","9/30/2018","11/14/2018","SM","620 Chestnut Street","HOME BANCSHARES, INC.","176","0","1","4","0","Faulkner","30780","Little Rock-North Little Rock-Conway, AR","1/1/1903","1/1/1934","9/27/2017","Stock","0","1","FED","DIF","Dallas","DALLAS","Little Rock","St. louis","Southern","Western","0","0","http://www.my100bank.com","10726175","10726175","8860366","0","1844399","20664","746","0","","1194772","856066","9531403","7165733","646151","1719518","9870109","2584294","8141881","9349820","5920157","127409","591592","591592","38230","",""
