cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,Lnrenr4,Lnrenr1,Lnrenr2,Lnrenr3,Lnci4,Lnci1,Lnci2,Lnci3,Lnreag4,Lnreag1,Lnreag2,Lnreag3,Lnag4,Lnag1,Lnag2,Lnag3,Lnrenr4N,Lnrenr1N,Lnrenr2N,Lnrenr3N,Lnci4N,Lnci1N,Lnci2N,Lnci3N,Lnreag4N,Lnreag1N,Lnreag2N,Lnreag3N,Lnag4N,Lnag1N,Lnag2N,Lnag3N
"23737","10350","347956","1951891","Valley National Bank","Tulsa","OK","74137","9/30/2018","11/14/2018","N","4812 East 81st Street","TULSA VALLEY BANCSHARES CORPORATION","10","0","0","4","0","Tulsa","46140","Tulsa, OK","2/16/1982","2/16/1982","3/7/2014","Stock","0","0","OCC","DIF","Dallas","DALLAS","Tulsa","Kansas City","Southern","West","0","1","http://www.bankvnb.com","30674","810","4835","25029","25664","3323","6271","16070","800","136","363","301","42","42","0","0","106","21","33","52","202","104","52","46","8","5","2","1","1","1","0","0"
"11409","0","1008955","2161437","Valley Premier Bank","Hawley","MN","56549","9/30/2018","11/14/2018","NM","416 Sixth Street","VALLEY PREMIER BANK EMPLOYEE STOCK OWNERSHIP PLAN & TRUST","2","0","0","4","1","Clay","22020","Fargo, ND-MN","8/1/1892","1/1/1934","11/17/2014","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","www.valleypremierbank.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"58828","0","3885123","4989000","Valley Republic Bank","Bakersfield","CA","93309","9/30/2018","11/14/2018","NM","5000 California Ave, # 110","VALLEY REPUBLIC BANCORP","4","0","0","4","0","Kern","12540","Bakersfield, CA","2/2/2009","2/2/2009","8/12/2015","Stock","0","0","FDIC","DIF","San Francisco","SAN FRANCISCO","Los Angeles (North)","San Francisco","Western","Western","0","1","http://www.valleyrepublicbank.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26021","15710","595337","1493609","Valley State Bank","Russellville","AL","35653","9/30/2018","11/14/2018","NM","15565 Highway 43 Bypass","VALLEY BANCSHARES, INC.","3","0","0","8","0","Franklin","","","4/1/1985","4/1/1985","2/24/2011","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","0","1","www.valleystate.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"57841","53354","3267738","3447400","Valliance Bank","Oklahoma City","OK","73118","9/30/2018","11/14/2018","NM","1601 N. W. Expressway","VALLIANCE FINANCIAL CORP.","5","0","1","4","1","Oklahoma","36420","Oklahoma City, OK","10/20/2004","10/20/2004","7/20/2012","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","http://www.vbank.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9467","0","129358","1056723","VALOR BANK","Edmond","OK","73013","9/30/2018","11/14/2018","NM","1501 Renaissance Blvd.","FIRST OF GRANDFIELD CORPORATION","1","0","0","4","1","Oklahoma","36420","Oklahoma City, OK","6/1/1930","1/1/1934","2/6/2018","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Oklahoma City","Kansas City","Southern","West","0","1","valor.bank","6500","0","196","6304","3034","121","347","2566","287","0","0","287","0","0","0","0","14","0","1","13","14","6","4","4","1","0","0","1","0","0","0","0"
"19700","0","964157","2490520","ValueBank Texas","Corpus Christi","TX","78408","9/30/2018","11/14/2018","NM","3649 Leopard Street","FIRST INTERNATIONAL BANCSHARES, INC.","8","0","0","4","0","Nueces","18580","Corpus Christi, TX","4/27/1967","5/11/1967","3/31/2006","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Houston","Dallas","Southern","West","0","1","www.valuebanktexas.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29495","3551","380878","0","Van Wert Federal Savings Bank","Van Wert","OH","45891","9/30/2018","11/14/2018","SA","976 South Shannon Street","","1","0","0","5","0","Van Wert","","","1/1/1889","2/27/1936","11/2/2012","Non-Stock","0","0","OCC","DIF","Chicago","CHICAGO","Cincinnati","Cleveland","Central","Central","0","1","www.vanwertfederal.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"9733","0","58355","4203425","Vantage Bank","Kent","MN","56553","9/30/2018","11/14/2018","NM","202 Main St","MINNDAK BANCSHARES, INC.","2","0","0","4","1","Wilkin","","","7/14/1902","1/1/1934","11/30/2012","Stock","0","0","FDIC","DIF","Kansas City","KANSAS CITY","Fargo","Minneapolis","Central","West","0","1","www.vantagebankmn.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"58375","0","3488869","4169549","Vantage Bank of Alabama","Albertville","AL","35950","9/30/2018","11/14/2018","NM","407 North Broad Street","VANTAGE BANCSHARES, INC.","2","0","0","4","0","Marshall","","","11/6/2006","11/6/2006","5/2/2014","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Shelby","Atlanta","Southern","Southeast","0","1","https://www.vantagebankal.com","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
